session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,positive_slow_deflection,127.132,2.869598721095156
dec4,dHPC,baseline,negative_slow_deflection,127.32,-1.9579264043193179
dec4,dHPC,baseline,negative_slow_deflection,127.608,-1.8686988692007154
dec4,dHPC,baseline,positive_slow_deflection,127.828,1.5754257379937655
dec4,dHPC,baseline,positive_slow_deflection,129.08,1.8565015059586916
dec4,dHPC,baseline,negative_slow_deflection,129.26,-2.642235948711324
dec4,dHPC,baseline,negative_slow_deflection,129.696,-2.3255384200728586
dec4,dHPC,baseline,positive_slow_deflection,130.096,2.4700755676119015
dec4,dHPC,baseline,negative_slow_deflection,131.792,-1.7536549121594633
dec4,dHPC,baseline,positive_slow_deflection,132.024,1.933300950374138
dec4,dHPC,baseline,negative_slow_deflection,132.208,-2.0772873280262054
dec4,dHPC,baseline,positive_slow_deflection,132.408,2.0582790143393073
dec4,dHPC,baseline,negative_slow_deflection,132.94,-1.7699995160147703
dec4,dHPC,baseline,positive_slow_deflection,133.504,1.6694245992612957
dec4,dHPC,baseline,negative_slow_deflection,133.664,-1.6073540059451161
dec4,dHPC,baseline,positive_slow_deflection,135.208,1.8148472900601336
dec4,dHPC,baseline,negative_slow_deflection,135.408,-2.938241027617534
dec4,dHPC,baseline,positive_slow_deflection,135.888,1.7759369369249185
dec4,dHPC,baseline,negative_slow_deflection,136.776,-2.4785765368941424
dec4,dHPC,baseline,positive_slow_deflection,142.008,1.8223316168147445
dec4,dHPC,baseline,negative_slow_deflection,143.536,-2.256152461167466
dec4,dHPC,baseline,positive_slow_deflection,144.092,1.612043947708397
dec4,dHPC,baseline,negative_slow_deflection,144.28,-2.2217255294470437
dec4,dHPC,baseline,positive_slow_deflection,145.088,2.0611298570511636
dec4,dHPC,baseline,negative_slow_deflection,145.268,-2.2820889750303364
dec4,dHPC,baseline,negative_slow_deflection,147.012,-1.5300308236358653
dec4,dHPC,baseline,positive_slow_deflection,148.976,1.6098857200262813
dec4,dHPC,baseline,negative_slow_deflection,149.364,-2.2201582521666046
dec4,dHPC,baseline,negative_slow_deflection,150.244,-1.5911857032795413
dec4,dHPC,baseline,positive_slow_deflection,150.848,1.6360973831862977
dec4,dHPC,baseline,negative_slow_deflection,151.184,-1.6681928132078747
dec4,dHPC,baseline,positive_slow_deflection,151.36,1.5957694952856452
dec4,dHPC,baseline,negative_slow_deflection,151.516,-2.142613542417244
dec4,dHPC,baseline,positive_slow_deflection,152.516,1.9363614523146517
dec4,dHPC,baseline,negative_slow_deflection,153.272,-1.6401911797273139
dec4,dHPC,baseline,positive_slow_deflection,157.876,1.532414167598116
dec4,dHPC,baseline,negative_slow_deflection,158.492,-2.1587476383097477
dec4,dHPC,baseline,negative_slow_deflection,159.184,-1.7998194069804982
dec4,dHPC,baseline,positive_slow_deflection,159.996,2.1847226396091313
dec4,dHPC,baseline,positive_slow_deflection,160.472,1.7968438135279454
dec4,dHPC,baseline,negative_slow_deflection,160.664,-2.459323239307068
dec4,dHPC,baseline,positive_slow_deflection,160.856,1.6812211231305165
dec4,dHPC,baseline,positive_slow_deflection,161.696,1.9507431583194716
dec4,dHPC,baseline,negative_slow_deflection,163.016,-1.7625168237651747
dec4,dHPC,baseline,positive_slow_deflection,163.808,1.6405714455226703
dec4,dHPC,baseline,negative_slow_deflection,164.452,-2.0120298988752134
dec4,dHPC,baseline,negative_slow_deflection,169.072,-1.5601596649144527
dec4,dHPC,baseline,positive_slow_deflection,169.236,2.4330466612538713
dec4,dHPC,baseline,negative_slow_deflection,169.672,-2.7154370388115088
dec4,dHPC,baseline,positive_slow_deflection,169.828,2.057315927497073
dec4,dHPC,baseline,negative_slow_deflection,169.988,-1.5949913193925873
dec4,dHPC,baseline,positive_slow_deflection,170.156,1.7766720767341828
dec4,dHPC,baseline,negative_slow_deflection,170.444,-1.5901288830428637
dec4,dHPC,baseline,positive_slow_deflection,170.588,1.551717450547764
dec4,dHPC,baseline,positive_slow_deflection,171.088,2.29467481691477
dec4,dHPC,baseline,negative_slow_deflection,171.268,-2.5694162912005347
dec4,dHPC,baseline,positive_slow_deflection,171.512,2.3326274731332517
dec4,dHPC,baseline,negative_slow_deflection,171.724,-2.049136376782703
dec4,dHPC,baseline,positive_slow_deflection,171.996,1.8398407376834256
dec4,dHPC,baseline,negative_slow_deflection,172.136,-1.8530308304048275
dec4,dHPC,baseline,negative_slow_deflection,173.464,-1.5725363510944002
dec4,dHPC,baseline,positive_slow_deflection,174.464,1.541040383004897
dec4,dHPC,baseline,negative_slow_deflection,174.676,-1.5720552307767497
dec4,dHPC,baseline,negative_slow_deflection,174.972,-1.6169422563699782
dec4,dHPC,baseline,positive_slow_deflection,175.12,1.9148706117854117
dec4,dHPC,baseline,negative_slow_deflection,175.284,-2.750303822153838
dec4,dHPC,baseline,positive_slow_deflection,175.576,2.3308355084425307
