condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq26,46,50,982.750732421875,943.7412109375,990.838623046875,997.4911499023438,47.097412109375
amp100_freq26,47,50,789.976806640625,758.6807250976562,796.5399780273438,801.5546264648438,37.8592529296875
amp100_freq26,48,50,669.4996948242188,641.827880859375,677.236083984375,673.96240234375,35.408203125
amp100_freq26,49,50,596.7857666015625,575.3992309570312,602.8253173828125,600.0576171875,27.42608642578125
amp100_freq26,50,50,534.9923706054688,520.6890869140625,538.5969848632812,538.4481201171875,17.90789794921875
amp100_freq26,51,50,507.331787109375,498.0593566894531,509.1233825683594,511.22320556640625,11.06402587890625
amp100_freq26,52,50,493.6845397949219,489.1077880859375,493.6216735839844,498.4330139160156,4.513885498046875
amp100_freq26,53,50,493.3511047363281,491.4439697265625,491.63311767578125,500.41485595703125,0.18914794921875
amp100_freq26,54,50,507.9588317871094,508.5770568847656,504.80413818359375,516.8013916015625,-3.772918701171875
amp100_freq26,55,50,538.4775390625,540.7816162109375,534.4826049804688,548.1644287109375,-6.29901123046875
amp100_freq26,56,50,586.2981567382812,589.3302001953125,582.0051879882812,596.1572875976562,-7.32501220703125
amp100_freq26,57,50,649.8792724609375,650.8348388671875,645.9625244140625,660.642822265625,-4.872314453125
amp100_freq26,58,50,721.6544189453125,719.634765625,718.3056030273438,733.6898193359375,-1.32916259765625
amp100_freq26,59,50,832.4326171875,825.4014282226562,830.4720458984375,845.33837890625,5.07061767578125
amp100_freq26,60,50,979.24609375,964.7155151367188,979.17578125,993.9906616210938,14.46026611328125
amp100_freq26,61,50,1157.3516845703125,1135.593505859375,1159.12744140625,1173.771484375,23.533935546875
amp100_freq26,62,50,1521.06298828125,1482.7054443359375,1526.8577880859375,1541.9912109375,44.15234375
amp100_freq26,63,50,1523.1458740234375,1482.9376220703125,1529.5721435546875,1544.047119140625,46.634521484375
amp100_freq26,64,50,1517.294677734375,1480.0289306640625,1522.875,1537.7569580078125,42.8460693359375
amp100_freq26,65,50,1716.5909423828125,1674.611083984375,1722.7904052734375,1739.926025390625,48.1793212890625
amp100_freq26,66,50,1832.2996826171875,1784.0489501953125,1840.576904296875,1855.65380859375,56.5279541015625
amp100_freq26,67,50,1840.4737548828125,1795.0367431640625,1847.3753662109375,1865.2066650390625,52.338623046875
amp100_freq26,68,50,877.6693725585938,825.0306396484375,890.9042358398438,890.6148071289062,65.87359619140625
amp100_freq26,69,50,588.776611328125,536.7041625976562,602.010986328125,601.1399536132812,65.30682373046875
amp100_freq26,70,50,553.75439453125,504.7659606933594,567.1857299804688,562.4522705078125,62.419769287109375
amp100_freq26,71,50,760.86767578125,716.7968139648438,771.4208374023438,773.2683715820312,54.6240234375
amp100_freq26,72,50,1577.9052734375,1545.6468505859375,1582.8681640625,1595.289306640625,37.2213134765625
amp100_freq26,73,50,754.4326782226562,710.0528564453125,765.4444580078125,765.7522583007812,55.3916015625
amp100_freq26,74,50,542.7870483398438,494.632568359375,557.0997924804688,548.0013427734375,62.46722412109375
amp100_freq26,75,50,573.203857421875,522.6359252929688,588.3180541992188,578.4293212890625,65.68212890625
amp100_freq26,76,50,826.0940551757812,772.1768798828125,839.6702880859375,839.2756958007812,67.493408203125
amp100_freq26,77,50,1626.9212646484375,1571.2410888671875,1637.6827392578125,1650.299560546875,66.441650390625
amp100_freq26,78,50,1324.5662841796875,1279.1641845703125,1333.084716796875,1344.41064453125,53.9205322265625
amp100_freq26,79,50,579.1170654296875,554.2904052734375,584.2162475585938,588.6356201171875,29.92584228515625
amp100_freq26,80,50,324.2147216796875,322.73272705078125,323.539306640625,327.7214660644531,0.80657958984375
amp100_freq26,81,50,676.3406372070312,646.1052856445312,684.8924560546875,680.9182739257812,38.78717041015625
amp100_freq26,82,50,663.9652099609375,636.1417846679688,671.7596435546875,668.4012451171875,35.61785888671875
amp100_freq26,83,50,649.7579956054688,624.3455810546875,656.8903198242188,653.7734985351562,32.54473876953125
amp100_freq26,84,50,608.40673828125,587.494140625,614.3399658203125,611.5187377929688,26.8458251953125
amp100_freq26,85,50,537.4241943359375,525.0773315429688,540.6409912109375,540.1256103515625,15.56365966796875
amp100_freq26,86,50,486.17657470703125,483.073486328125,486.28411865234375,488.9590148925781,3.21063232421875
amp100_freq26,87,50,472.0818176269531,472.9617614746094,470.6500549316406,475.49554443359375,-2.31170654296875
amp100_freq26,88,50,251.2347869873047,249.3199005126953,251.32200622558594,252.889892578125,2.002105712890625
amp100_freq26,89,50,195.4481658935547,187.67529296875,196.30699157714844,200.64810180664062,8.631698608398438
amp100_freq26,90,50,209.9820556640625,196.6953887939453,213.31687927246094,213.27059936523438,16.621490478515625
amp100_freq26,91,50,250.38253784179688,231.52420043945312,255.49444580078125,253.90084838867188,23.970245361328125
amp100_freq26,92,50,332.1553955078125,312.3861389160156,337.3254089355469,336.4101867675781,24.93927001953125
amp100_freq26,93,50,509.0276794433594,491.6818542480469,513.3020629882812,513.5433959960938,21.620208740234375
amp100_freq26,94,50,979.4700317382812,969.8563842773438,977.1487426757812,996.0489501953125,7.2923583984375
amp100_freq26,95,50,1182.0538330078125,1162.7315673828125,1182.3907470703125,1200.359619140625,19.6591796875
amp100_freq26,96,50,640.35791015625,636.0547485351562,639.7172241210938,646.5942993164062,3.6624755859375
amp100_freq26,97,50,780.23046875,771.9122314453125,779.9375610351562,789.4265747070312,8.02532958984375
amp100_freq26,98,50,936.4013061523438,922.77880859375,937.31591796875,947.2677612304688,14.537109375
amp100_freq26,99,50,1076.655029296875,1059.40234375,1078.1756591796875,1089.3731689453125,18.7733154296875
amp100_freq26,100,50,1217.981201171875,1197.265625,1220.3861083984375,1231.4931640625,23.1204833984375
amp100_freq26,101,50,1342.62646484375,1318.2952880859375,1345.757568359375,1357.5684814453125,27.4622802734375
amp100_freq26,102,50,1439.7303466796875,1412.3343505859375,1442.9605712890625,1457.4371337890625,30.626220703125
amp100_freq26,103,50,1464.11767578125,1434.771484375,1467.9454345703125,1481.957763671875,33.1739501953125
amp100_freq26,104,50,1443.9908447265625,1415.25830078125,1447.6826171875,1461.660888671875,32.42431640625
amp100_freq26,105,50,1419.127197265625,1388.004638671875,1423.708984375,1436.461669921875,35.704345703125
amp100_freq26,106,50,1360.809814453125,1329.1165771484375,1365.9947509765625,1376.9351806640625,36.878173828125
amp100_freq26,107,50,1270.57421875,1240.0152587890625,1275.730224609375,1285.654541015625,35.7149658203125
amp100_freq26,108,50,1162.9835205078125,1134.34521484375,1167.912841796875,1176.8507080078125,33.567626953125
amp100_freq26,109,50,1031.357177734375,1005.0424194335938,1035.9449462890625,1043.923095703125,30.90252685546875
amp100_freq26,110,50,872.3863525390625,849.2442626953125,876.8126220703125,882.2021484375,27.568359375
amp100_freq26,111,50,750.4486694335938,730.877685546875,754.3145141601562,758.429443359375,23.43682861328125
amp100_freq26,112,50,587.6781005859375,559.5957641601562,595.9705810546875,590.8677978515625,36.37481689453125
amp100_freq26,113,50,593.28759765625,565.3405151367188,601.4656372070312,596.677001953125,36.1251220703125
amp100_freq26,114,50,436.1720886230469,415.4114990234375,444.03375244140625,433.3416748046875,28.62225341796875
amp100_freq26,115,50,599.6953735351562,572.6163940429688,607.3534545898438,603.8140258789062,34.737060546875
amp100_freq26,116,50,592.139404296875,566.4276733398438,599.6007080078125,595.4619140625,33.17303466796875
amp100_freq26,117,50,585.6717529296875,561.7487182617188,592.9625244140625,587.7137451171875,31.21380615234375
amp100_freq26,118,50,582.156494140625,560.6370849609375,588.6802978515625,584.107666015625,28.043212890625
amp100_freq26,119,50,576.7459106445312,558.0755004882812,582.5910034179688,577.8723754882812,24.5155029296875
amp100_freq26,120,50,561.8719482421875,546.7044677734375,566.80078125,562.2544555664062,20.0963134765625
amp100_freq26,121,50,499.2208251953125,489.8203125,502.7817687988281,497.93829345703125,12.961456298828125
amp100_freq26,122,50,412.86016845703125,411.2109375,413.95721435546875,411.2138671875,2.74627685546875
amp100_freq26,123,50,363.4540710449219,367.1232604980469,363.177734375,360.59832763671875,-3.945526123046875
amp100_freq26,124,50,350.2906188964844,357.6246337890625,349.06964111328125,346.622314453125,-8.55499267578125
