trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
1002,amp100_freq5,100,5,B_LEC_128-191,51,72.74922180175781,79.30464935302734,87.29972839355469,6.555427551269531,14.550506591796875,-7.995079040527344
1002,amp100_freq5,100,5,B_LEC_192-255,32,81.2594985961914,73.08235931396484,60.47505187988281,-8.177139282226562,-20.784446716308594,12.607307434082031
1003,amp250_freq26,250,26,A_dHPC_0-31,32,189.74710083007812,222.96286010742188,204.66085815429688,33.21575927734375,14.91375732421875,18.302001953125
1003,amp250_freq26,250,26,A_dHPC_32-63,32,216.27874755859375,215.18296813964844,195.30128479003906,-1.0957794189453125,-20.977462768554688,19.881683349609375
1003,amp250_freq26,250,26,A_dHPC_64-95,32,168.44686889648438,160.09657287597656,149.6318359375,-8.350296020507812,-18.815032958984375,10.464736938476562
1003,amp250_freq26,250,26,A_dHPC_96-127,31,112.09873962402344,136.38404846191406,110.8076400756836,24.285308837890625,-1.2910995483398438,25.57640838623047
1003,amp250_freq26,250,26,B_LEC_128-191,51,74.63729858398438,76.66313934326172,73.82015991210938,2.0258407592773438,-0.817138671875,2.8429794311523438
1003,amp250_freq26,250,26,B_LEC_192-255,32,44.24946212768555,49.91239547729492,52.33746337890625,5.662933349609375,8.088001251220703,-2.425067901611328
1004,amp100_freq26,100,26,A_dHPC_0-31,32,206.63685607910156,219.0189971923828,227.2643280029297,12.38214111328125,20.627471923828125,-8.245330810546875
1004,amp100_freq26,100,26,A_dHPC_32-63,32,199.04116821289062,194.49581909179688,213.660400390625,-4.54534912109375,14.619232177734375,-19.164581298828125
1004,amp100_freq26,100,26,A_dHPC_64-95,32,137.82090759277344,162.75111389160156,183.4888153076172,24.930206298828125,45.66790771484375,-20.737701416015625
1004,amp100_freq26,100,26,A_dHPC_96-127,31,111.7462158203125,116.0772476196289,130.06478881835938,4.331031799316406,18.318572998046875,-13.987541198730469
1004,amp100_freq26,100,26,B_LEC_128-191,51,76.1485824584961,71.5957260131836,75.2729263305664,-4.5528564453125,-0.8756561279296875,-3.6772003173828125
1004,amp100_freq26,100,26,B_LEC_192-255,32,58.1411018371582,39.2315788269043,57.7087516784668,-18.909523010253906,-0.43235015869140625,-18.4771728515625
1005,amp180_freq26,180,26,A_dHPC_0-31,32,224.30039978027344,184.3797149658203,205.21368408203125,-39.920684814453125,-19.086715698242188,-20.833969116210938
1005,amp180_freq26,180,26,A_dHPC_32-63,32,210.2874755859375,175.6617431640625,190.00527954101562,-34.625732421875,-20.282196044921875,-14.343536376953125
1005,amp180_freq26,180,26,A_dHPC_64-95,32,213.0770263671875,159.29025268554688,149.13743591308594,-53.786773681640625,-63.93959045410156,10.152816772460938
