trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
914,amp100_freq26,100,26,Group 96-127,32,-18.356834411621094,-30.953414916992188,-1.4699616921701129
914,amp100_freq26,100,26,Group 64-95,30,-41.684783935546875,-85.37068939208984,-1.458867853064954
914,amp100_freq26,100,26,Group 32-63,28,-47.88688659667969,-97.05882263183594,-2.6984760558853527
914,amp100_freq26,100,26,Group 0-31,29,-43.290313720703125,-62.06007385253906,-3.0269742040103966
915,amp250_freq26,250,26,Group 96-127,32,10.480964660644531,-13.247688293457031,-0.4517960269981397
915,amp250_freq26,250,26,Group 64-95,30,0.28049468994140625,13.900604248046875,-1.4091038436673757
915,amp250_freq26,250,26,Group 32-63,28,16.7613525390625,-6.388786315917969,-0.8719477534823411
915,amp250_freq26,250,26,Group 0-31,29,11.86175537109375,13.314727783203125,-0.2442856039330875
916,amp250_freq26,250,26,Group 96-127,32,-10.795005798339844,-32.77831268310547,-0.6464926010341957
916,amp250_freq26,250,26,Group 64-95,30,-33.90653991699219,-37.2525634765625,0.8871783643440827
916,amp250_freq26,250,26,Group 32-63,28,-46.3936767578125,-55.82220458984375,3.081925453510022
916,amp250_freq26,250,26,Group 0-31,29,-30.394683837890625,-83.82783508300781,1.390074953835197
917,amp180_freq5,180,5,Group 96-127,32,15.706787109375,9.972801208496094,-1.4374197973203897
917,amp180_freq5,180,5,Group 64-95,30,34.31980895996094,-12.332229614257812,0.36676413967154453
917,amp180_freq5,180,5,Group 32-63,28,17.669143676757812,-18.311614990234375,-0.44677850902287436
917,amp180_freq5,180,5,Group 0-31,29,42.699920654296875,-32.38457489013672,-2.065525136320608
918,amp100_freq26,100,26,Group 96-127,32,13.970405578613281,0.5407257080078125,-1.5863043960355652
918,amp100_freq26,100,26,Group 64-95,30,17.65245819091797,-1.57672119140625,0.11149709263548568
918,amp100_freq26,100,26,Group 32-63,28,5.416900634765625,-49.268310546875,-0.7740719021166699
918,amp100_freq26,100,26,Group 0-31,29,26.747238159179688,-9.666458129882812,-0.9237936020545164
919,amp250_freq26,250,26,Group 96-127,32,-31.151466369628906,-57.45024871826172,1.8789792965377392
919,amp250_freq26,250,26,Group 64-95,30,-9.096343994140625,-58.673004150390625,0.6778979963863956
