trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1840,amp250_freq50,250,50,13820.780025,141.74644926193818
1841,amp180_freq10,180,10,13826.780025,50.20907415131081
1842,amp250_freq50,250,50,13832.780025,60.20339994999377
1843,amp250_freq10,250,10,13838.780025,58.11848255365425
1844,amp180_freq50,180,50,13844.780025,51.124353142892986
1845,amp100_freq26,100,26,13850.780025,48.889479486181855
1846,amp180_freq5,180,5,13856.780025,57.24959166981672
1847,amp180_freq26,180,26,13862.780025,56.939921092016235
1848,amp250_freq5,250,5,13868.780025,51.12233243627104
1849,amp250_freq10,250,10,13874.780025,56.855409460350224
1850,amp180_freq10,180,10,13880.780025,55.90442946029361
1851,amp100_freq5,100,5,13886.780025,53.17397963405138
1852,amp180_freq50,180,50,13892.780025,60.923009224003444
1853,amp100_freq10,100,10,13898.780025,53.62067139297551
1854,amp100_freq10,100,10,13904.780025,46.198824408424194
1855,amp180_freq5,180,5,13910.780025,57.927651748378295
1856,amp180_freq50,180,50,13916.780025,55.18905111458129
1857,amp250_freq10,250,10,13922.780025,50.6897505627399
1858,amp180_freq10,180,10,13928.780025,47.983647712008406
1859,amp180_freq5,180,5,13934.780025,51.73056610522243
1860,amp250_freq5,250,5,13940.780025,54.59709407708119
1861,amp180_freq5,180,5,13946.780025,55.6540791353121
1862,amp180_freq5,180,5,13952.780025,53.9471643997408
1863,amp100_freq26,100,26,13958.780025,48.06016203180325
1864,amp250_freq50,250,50,13964.780025,90.47422308126345
1865,amp250_freq50,250,50,13970.780025,60.421978366528286
1866,amp180_freq5,180,5,13976.780025,48.11653140385544
1867,amp250_freq5,250,5,13982.780025,50.98204385667222
1868,amp100_freq26,100,26,13988.780025,48.5442356924886
1869,amp100_freq26,100,26,13994.780025,50.11440691793774
1870,amp250_freq26,250,26,14000.780025,49.78629759579875
1871,amp250_freq50,250,50,14006.780025,53.184231787634495
1872,amp180_freq5,180,5,14012.780025,49.14831412192558
1873,amp250_freq5,250,5,14018.780025,50.261136505961375
1874,amp100_freq50,100,50,14024.780025,50.06102027273665
1875,amp180_freq26,180,26,14030.780025,49.79983802404106
1876,amp180_freq5,180,5,14036.780025,53.87135630927829
1877,amp250_freq10,250,10,14042.780025,53.66396112526384
1878,amp180_freq50,180,50,14048.780025,49.75065700330859
1879,amp250_freq5,250,5,14054.780025,52.678629773345385
1880,amp250_freq26,250,26,14060.780025,47.70059333989403
1881,amp250_freq50,250,50,14066.780025,59.2974740348707
1882,amp250_freq10,250,10,14072.780025,48.435699612041404
1883,amp180_freq5,180,5,14078.780025,112.06250048375149
1884,amp100_freq26,100,26,14084.780025,79.60342425505931
1885,amp250_freq50,250,50,14090.780025,66.77596126830063
1886,amp180_freq26,180,26,14096.780025,53.813073721095606
1887,amp180_freq10,180,10,14102.780025,51.14063644776242
1888,amp250_freq10,250,10,14108.780025,52.09462296958367
1889,amp100_freq5,100,5,14114.780025,53.768832029298174
1890,amp180_freq26,180,26,14120.780025,50.40132828383559
1891,amp100_freq50,100,50,14126.780025,52.174507837208104
1892,amp180_freq50,180,50,14132.780025,56.76125806201831
1893,amp250_freq26,250,26,14138.780025,49.94008462866227
1894,amp100_freq50,100,50,14144.780025,50.277762840777
1895,amp100_freq5,100,5,14150.780025,49.853283100757054
1896,amp250_freq5,250,5,14156.780025,53.43986534617274
1897,amp180_freq5,180,5,14162.780025,59.432394665529415
1898,amp100_freq10,100,10,14168.780025,46.47235769188933
1899,amp250_freq26,250,26,14174.780025,50.939292312237455
1900,amp250_freq10,250,10,14180.780025,50.817155251139766
1901,amp100_freq5,100,5,14186.780025,46.79947259086724
1902,amp250_freq10,250,10,14192.780025,50.83270029744941
1903,amp180_freq5,180,5,14198.780025,49.1884876291807
1904,amp250_freq50,250,50,14204.780025,63.637102092407915
