trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
485,amp180_freq26,180,26,A_dHPC_32-63,32,47.10333251953125,-89.40265655517578,0.24934309809424895
485,amp180_freq26,180,26,A_dHPC_64-95,32,18.559112548828125,-74.25835418701172,3.008489124901614
485,amp180_freq26,180,26,A_dHPC_96-127,31,12.955986022949219,-20.444313049316406,-2.4764877186192185
485,amp180_freq26,180,26,B_LEC_128-191,51,-22.517005920410156,-32.863563537597656,-1.5980920110572954
485,amp180_freq26,180,26,B_LEC_192-255,32,0.4954795837402344,7.2068023681640625,-1.315451975787877
486,amp180_freq26,180,26,A_dHPC_0-31,32,3.52032470703125,141.84791564941406,-2.0402668540125
486,amp180_freq26,180,26,A_dHPC_32-63,32,34.079437255859375,158.0830841064453,-1.1324347040760552
486,amp180_freq26,180,26,A_dHPC_64-95,32,-17.45379638671875,143.28524780273438,-2.1649401834752338
486,amp180_freq26,180,26,A_dHPC_96-127,31,16.402870178222656,51.62531280517578,0.5160400965826796
486,amp180_freq26,180,26,B_LEC_128-191,51,-3.0636444091796875,30.32270050048828,0.15171223109017212
486,amp180_freq26,180,26,B_LEC_192-255,32,3.957164764404297,1.737548828125,1.672398416210255
487,amp100_freq26,100,26,A_dHPC_0-31,32,70.06877136230469,42.28953552246094,-0.5931012034500177
487,amp100_freq26,100,26,A_dHPC_32-63,32,110.1854248046875,27.47381591796875,-0.16844434256278135
487,amp100_freq26,100,26,A_dHPC_64-95,32,86.75730895996094,-31.299102783203125,-0.5262915626239688
487,amp100_freq26,100,26,A_dHPC_96-127,31,70.225830078125,0.9246292114257812,-1.6835726176978008
487,amp100_freq26,100,26,B_LEC_128-191,51,1.65386962890625,-22.89840316772461,0.3255997444806929
487,amp100_freq26,100,26,B_LEC_192-255,32,1.9371871948242188,-2.3524742126464844,-0.20446689991940198
488,amp180_freq50,180,50,A_dHPC_0-31,32,-107.02664184570312,-86.549072265625,-0.9255923177106958
488,amp180_freq50,180,50,A_dHPC_32-63,32,-67.21156311035156,19.870498657226562,1.7156060392357888
488,amp180_freq50,180,50,A_dHPC_64-95,32,-41.74945068359375,-86.58304595947266,-1.7975955438297297
488,amp180_freq50,180,50,A_dHPC_96-127,31,-21.619873046875,50.68505859375,-3.514713974952251
488,amp180_freq50,180,50,B_LEC_128-191,51,4.495819091796875,1.405792236328125,2.69557448818125
488,amp180_freq50,180,50,B_LEC_192-255,32,7.8670654296875,-11.817800521850586,3.658014834935527
489,amp250_freq26,250,26,A_dHPC_0-31,32,-41.64735412597656,-25.4708251953125,0.8363584411680759
489,amp250_freq26,250,26,A_dHPC_32-63,32,15.249481201171875,-90.5841064453125,0.3753109830350361
489,amp250_freq26,250,26,A_dHPC_64-95,32,-5.4279632568359375,-39.905006408691406,-0.7501044596429582
489,amp250_freq26,250,26,A_dHPC_96-127,31,-14.020523071289062,-25.847824096679688,1.0435326763868114
489,amp250_freq26,250,26,B_LEC_128-191,51,-5.492912292480469,30.995529174804688,0.8188283582130643
489,amp250_freq26,250,26,B_LEC_192-255,32,-17.280834197998047,67.55345916748047,0.6083059018850818
490,amp250_freq10,250,10,A_dHPC_0-31,32,-18.995147705078125,63.6214599609375,2.30589809209583
490,amp250_freq10,250,10,A_dHPC_32-63,32,-23.699798583984375,103.57257080078125,2.0502488544977044
490,amp250_freq10,250,10,A_dHPC_64-95,32,-7.3597412109375,81.86940002441406,-0.2727650093030744
490,amp250_freq10,250,10,A_dHPC_96-127,31,-8.704383850097656,52.38911437988281,1.8680441757497803
490,amp250_freq10,250,10,B_LEC_128-191,51,7.3141937255859375,16.532638549804688,0.23770751371686302
490,amp250_freq10,250,10,B_LEC_192-255,32,0.5084762573242188,-8.189302444458008,-0.9324374927464388
491,amp250_freq26,250,26,A_dHPC_0-31,32,-9.753982543945312,-1.94537353515625,-1.0394027555862448
491,amp250_freq26,250,26,A_dHPC_32-63,32,-26.903884887695312,-63.512474060058594,-0.02446011215103019
491,amp250_freq26,250,26,A_dHPC_64-95,32,1.8821868896484375,9.784255981445312,0.9699868033377645
491,amp250_freq26,250,26,A_dHPC_96-127,31,-10.331008911132812,34.41691589355469,-0.9176321454123454
491,amp250_freq26,250,26,B_LEC_128-191,51,-6.358375549316406,-11.848655700683594,-1.2656054626192552
491,amp250_freq26,250,26,B_LEC_192-255,32,-4.644237518310547,-1.4121513366699219,-0.05454076618107134
492,amp100_freq26,100,26,A_dHPC_0-31,32,4.7856903076171875,14.031402587890625,-0.14674003563970162
492,amp100_freq26,100,26,A_dHPC_32-63,32,4.09991455078125,99.07955932617188,-0.9184474586012609
492,amp100_freq26,100,26,A_dHPC_64-95,32,17.60626220703125,58.790069580078125,-0.01736577782715604
492,amp100_freq26,100,26,A_dHPC_96-127,31,11.906600952148438,42.21934509277344,-2.463761850064525
492,amp100_freq26,100,26,B_LEC_128-191,51,3.4588546752929688,15.120223999023438,-1.4506751136328884
492,amp100_freq26,100,26,B_LEC_192-255,32,-2.7379798889160156,-8.990375518798828,-0.8439356825936848
493,amp250_freq5,250,5,A_dHPC_0-31,32,-31.81561279296875,-2.9797210693359375,-1.9172964156777699
493,amp250_freq5,250,5,A_dHPC_32-63,32,-49.14042663574219,34.90754699707031,-1.6268125450653967
493,amp250_freq5,250,5,A_dHPC_64-95,32,-5.836578369140625,75.09796142578125,0.1426462009981935
493,amp250_freq5,250,5,A_dHPC_96-127,31,16.56560516357422,30.960784912109375,-1.5056958577197228
493,amp250_freq5,250,5,B_LEC_128-191,51,-3.8383712768554688,-0.8170700073242188,-0.7634529761241576
493,amp250_freq5,250,5,B_LEC_192-255,32,8.789176940917969,8.052749633789062,0.32789046562602453
494,amp250_freq50,250,50,A_dHPC_0-31,32,18.854248046875,-22.235443115234375,0.9302460434239392
494,amp250_freq50,250,50,A_dHPC_32-63,32,-16.788192749023438,-60.13798522949219,0.3860007531613799
494,amp250_freq50,250,50,A_dHPC_64-95,32,16.551132202148438,27.326080322265625,1.5545486840948428
494,amp250_freq50,250,50,A_dHPC_96-127,31,-10.824188232421875,-22.30065155029297,-0.35539209085174367
494,amp250_freq50,250,50,B_LEC_128-191,51,4.89996337890625,-0.2918701171875,-0.3238294050372883
494,amp250_freq50,250,50,B_LEC_192-255,32,12.900405883789062,1.5035743713378906,-0.2350070463834597
495,amp250_freq10,250,10,A_dHPC_0-31,32,35.68974304199219,80.31008911132812,-0.40262051197443943
495,amp250_freq10,250,10,A_dHPC_32-63,32,61.54888916015625,-6.3283538818359375,0.69501561396746
495,amp250_freq10,250,10,A_dHPC_64-95,32,38.86930847167969,-1.399169921875,1.2279223071220413
495,amp250_freq10,250,10,A_dHPC_96-127,31,15.880592346191406,-21.54949188232422,0.12791938738642233
495,amp250_freq10,250,10,B_LEC_128-191,51,3.474945068359375,4.065582275390625,-0.3883267878719981
495,amp250_freq10,250,10,B_LEC_192-255,32,-10.891441345214844,-9.083576202392578,1.3035737721816367
496,amp100_freq26,100,26,A_dHPC_0-31,32,-28.27972412109375,-25.208450317382812,-1.3127669241410318
496,amp100_freq26,100,26,A_dHPC_32-63,32,-15.037002563476562,-47.123504638671875,-1.3530835329632251
496,amp100_freq26,100,26,A_dHPC_64-95,32,-9.966583251953125,-36.50507354736328,-0.5434970162050494
496,amp100_freq26,100,26,A_dHPC_96-127,31,-6.0897369384765625,-30.102249145507812,-0.8723316226667307
496,amp100_freq26,100,26,B_LEC_128-191,51,-2.7234420776367188,-0.18392181396484375,0.669513837560563
496,amp100_freq26,100,26,B_LEC_192-255,32,6.178806304931641,87.63405227661133,1.0000525224681036
497,amp100_freq10,100,10,A_dHPC_0-31,32,0.422760009765625,-35.843048095703125,-4.219602893760564
497,amp100_freq10,100,10,A_dHPC_32-63,32,-34.24267578125,-75.85472869873047,-3.770920619685348
497,amp100_freq10,100,10,A_dHPC_64-95,32,-6.1728363037109375,2.4727325439453125,-1.005883688829422
497,amp100_freq10,100,10,A_dHPC_96-127,31,0.26679229736328125,-11.293655395507812,-0.6856703174471213
