condition,amplitude,frequency,channel,shank,n_trials,pre_abs_lfp,onset_abs_lfp,sustained_abs_lfp,offset_abs_lfp,recovery_abs_lfp,onset_minus_pre_abs_lfp,sustained_minus_pre_abs_lfp,offset_minus_pre_abs_lfp,recovery_minus_pre_abs_lfp
amp180_freq5,180,5,0,Section 4 (0-31),100,1492.226318359375,1432.7916259765625,1518.2650146484375,1528.3341064453125,1534.0875244140625,-59.4346923828125,26.0386962890625,36.1077880859375,41.8612060546875
amp180_freq5,180,5,1,Section 4 (0-31),100,1457.7496337890625,1396.7105712890625,1483.1915283203125,1500.0596923828125,1502.0784912109375,-61.0390625,25.44189453125,42.31005859375,44.328857421875
amp180_freq5,180,5,2,Section 4 (0-31),100,1449.197021484375,1391.2725830078125,1479.527099609375,1506.4854736328125,1501.5654296875,-57.9244384765625,30.330078125,57.2884521484375,52.368408203125
amp180_freq5,180,5,3,Section 4 (0-31),100,1492.9886474609375,1433.1944580078125,1531.2589111328125,1576.8228759765625,1562.2760009765625,-59.794189453125,38.270263671875,83.834228515625,69.287353515625
amp180_freq5,180,5,4,Section 4 (0-31),100,1587.019775390625,1520.8079833984375,1634.44482421875,1692.4112548828125,1678.8837890625,-66.2117919921875,47.425048828125,105.3914794921875,91.864013671875
amp180_freq5,180,5,5,Section 4 (0-31),100,1708.330322265625,1632.5628662109375,1761.0777587890625,1821.786865234375,1821.4024658203125,-75.7674560546875,52.7474365234375,113.45654296875,113.0721435546875
amp180_freq5,180,5,6,Section 4 (0-31),100,1747.7864990234375,1662.5697021484375,1799.2020263671875,1853.9539794921875,1875.675048828125,-85.216796875,51.41552734375,106.16748046875,127.8885498046875
amp180_freq5,180,5,7,Section 4 (0-31),100,1700.8304443359375,1609.3682861328125,1747.34228515625,1790.67724609375,1829.0994873046875,-91.462158203125,46.5118408203125,89.8468017578125,128.26904296875
amp180_freq5,180,5,8,Section 4 (0-31),100,1519.0953369140625,1428.3382568359375,1557.83935546875,1582.82763671875,1636.13671875,-90.757080078125,38.7440185546875,63.7322998046875,117.0413818359375
amp180_freq5,180,5,9,Section 4 (0-31),100,1285.527587890625,1213.35546875,1318.5458984375,1321.4813232421875,1382.4005126953125,-72.172119140625,33.018310546875,35.9537353515625,96.8729248046875
amp180_freq5,180,5,10,Section 4 (0-31),100,1075.6124267578125,1007.2324829101562,1094.0252685546875,1083.9627685546875,1138.4268798828125,-68.37994384765625,18.412841796875,8.350341796875,62.814453125
amp180_freq5,180,5,11,Section 4 (0-31),100,920.6485595703125,855.3140258789062,931.3768920898438,920.30615234375,954.595703125,-65.33453369140625,10.72833251953125,-0.3424072265625,33.9471435546875
amp180_freq5,180,5,12,Section 4 (0-31),100,817.2093505859375,747.9096069335938,817.6390380859375,808.1008911132812,830.780029296875,-69.29974365234375,0.4296875,-9.10845947265625,13.5706787109375
amp180_freq5,180,5,13,Section 4 (0-31),100,772.8873901367188,704.79296875,768.9226684570312,757.9863891601562,779.8504638671875,-68.09442138671875,-3.9647216796875,-14.9010009765625,6.96307373046875
amp180_freq5,180,5,14,Section 4 (0-31),100,755.3110961914062,683.8576049804688,749.7869262695312,736.4008178710938,761.7164916992188,-71.4534912109375,-5.524169921875,-18.9102783203125,6.4053955078125
amp180_freq5,180,5,15,Section 4 (0-31),100,754.7091064453125,679.8576049804688,749.2823486328125,732.1366577148438,762.8119506835938,-74.85150146484375,-5.4267578125,-22.57244873046875,8.10284423828125
amp180_freq5,180,5,16,Section 4 (0-31),100,618.8718872070312,572.3356323242188,609.8176879882812,593.704833984375,631.451171875,-46.5362548828125,-9.05419921875,-25.16705322265625,12.57928466796875
amp180_freq5,180,5,17,Section 4 (0-31),100,618.020263671875,570.3717041015625,607.0696411132812,587.5591430664062,633.5224609375,-47.6485595703125,-10.95062255859375,-30.46112060546875,15.502197265625
amp180_freq5,180,5,18,Section 4 (0-31),100,633.8050537109375,586.310791015625,622.5595703125,599.1605834960938,652.332275390625,-47.4942626953125,-11.2454833984375,-34.64447021484375,18.5272216796875
amp180_freq5,180,5,19,Section 4 (0-31),100,649.53662109375,602.552490234375,639.3694458007812,617.2427368164062,671.3185424804688,-46.984130859375,-10.16717529296875,-32.29388427734375,21.78192138671875
amp180_freq5,180,5,20,Section 4 (0-31),100,677.6449584960938,632.8369140625,669.2288208007812,651.2925415039062,701.9800415039062,-44.80804443359375,-8.4161376953125,-26.3524169921875,24.3350830078125
amp180_freq5,180,5,21,Section 4 (0-31),100,716.9734497070312,677.3897705078125,711.5842895507812,700.0734252929688,745.3858642578125,-39.58367919921875,-5.38916015625,-16.9000244140625,28.41241455078125
amp180_freq5,180,5,22,Section 4 (0-31),100,765.211669921875,726.366455078125,762.5836181640625,758.3056030273438,795.8101196289062,-38.84521484375,-2.6280517578125,-6.90606689453125,30.59844970703125
amp180_freq5,180,5,23,Section 4 (0-31),100,834.5704345703125,795.1119995117188,836.2021484375,841.9755859375,865.8760375976562,-39.45843505859375,1.6317138671875,7.4051513671875,31.30560302734375
amp180_freq5,180,5,24,Section 4 (0-31),100,1185.238037109375,1152.8179931640625,1209.3558349609375,1220.252197265625,1220.9451904296875,-32.4200439453125,24.1177978515625,35.01416015625,35.7071533203125
amp180_freq5,180,5,25,Section 4 (0-31),100,1184.320068359375,1153.5028076171875,1208.23876953125,1219.080810546875,1220.09716796875,-30.8172607421875,23.918701171875,34.7607421875,35.777099609375
amp180_freq5,180,5,26,Section 4 (0-31),100,1185.1776123046875,1153.608642578125,1209.32666015625,1220.0748291015625,1220.991455078125,-31.5689697265625,24.1490478515625,34.897216796875,35.8138427734375
amp180_freq5,180,5,27,Section 4 (0-31),100,1181.0626220703125,1151.155029296875,1206.6124267578125,1217.09716796875,1217.5948486328125,-29.9075927734375,25.5498046875,36.0345458984375,36.5322265625
amp180_freq5,180,5,28,Section 4 (0-31),100,1186.751708984375,1155.4154052734375,1211.072998046875,1222.260986328125,1222.8814697265625,-31.3363037109375,24.3212890625,35.50927734375,36.1297607421875
amp180_freq5,180,5,29,Section 4 (0-31),100,1509.1376953125,1457.28271484375,1542.7647705078125,1545.826904296875,1552.6895751953125,-51.85498046875,33.6270751953125,36.689208984375,43.5518798828125
amp180_freq5,180,5,30,Section 4 (0-31),100,1534.2869873046875,1475.73486328125,1564.423095703125,1567.5765380859375,1576.2783203125,-58.5521240234375,30.1361083984375,33.28955078125,41.9913330078125
amp180_freq5,180,5,31,Section 4 (0-31),100,1505.5003662109375,1445.230224609375,1532.99853515625,1538.620361328125,1547.0657958984375,-60.2701416015625,27.4981689453125,33.1199951171875,41.5654296875
amp180_freq5,180,5,32,Section 3 (32-63),100,1731.7073974609375,1659.8248291015625,1778.90234375,1813.2269287109375,1833.779541015625,-71.882568359375,47.1949462890625,81.51953125,102.0721435546875
amp180_freq5,180,5,33,Section 3 (32-63),100,1768.97509765625,1700.31103515625,1821.4945068359375,1854.0650634765625,1872.7037353515625,-68.6640625,52.5194091796875,85.0899658203125,103.7286376953125
amp180_freq5,180,5,34,Section 3 (32-63),100,1715.2694091796875,1655.3970947265625,1766.370361328125,1798.79296875,1812.754638671875,-59.872314453125,51.1009521484375,83.5235595703125,97.4852294921875
amp180_freq5,180,5,35,Section 3 (32-63),100,1639.217529296875,1589.757568359375,1685.3935546875,1718.431396484375,1729.0059814453125,-49.4599609375,46.176025390625,79.2138671875,89.7884521484375
amp180_freq5,180,5,36,Section 3 (32-63),100,1565.6199951171875,1525.53076171875,1607.6229248046875,1640.0030517578125,1649.6087646484375,-40.0892333984375,42.0029296875,74.383056640625,83.98876953125
amp180_freq5,180,5,37,Section 3 (32-63),100,1507.611572265625,1473.26171875,1547.12744140625,1578.8494873046875,1587.6202392578125,-34.349853515625,39.515869140625,71.2379150390625,80.0086669921875
amp180_freq5,180,5,38,Section 3 (32-63),100,1476.2667236328125,1443.0726318359375,1514.388427734375,1548.56494140625,1555.235595703125,-33.194091796875,38.1217041015625,72.2982177734375,78.9688720703125
amp180_freq5,180,5,39,Section 3 (32-63),100,1465.8045654296875,1432.775634765625,1504.64208984375,1543.00830078125,1547.1298828125,-33.0289306640625,38.8375244140625,77.2037353515625,81.3253173828125
amp180_freq5,180,5,40,Section 3 (32-63),100,1474.8177490234375,1438.175048828125,1514.7440185546875,1555.488525390625,1560.816162109375,-36.6427001953125,39.92626953125,80.6707763671875,85.9984130859375
amp180_freq5,180,5,41,Section 3 (32-63),100,1499.686279296875,1456.0020751953125,1540.9456787109375,1582.318359375,1592.6158447265625,-43.6842041015625,41.2593994140625,82.632080078125,92.9295654296875
amp180_freq5,180,5,42,Section 3 (32-63),100,1550.1678466796875,1498.819091796875,1592.445068359375,1634.423095703125,1650.441162109375,-51.3487548828125,42.2772216796875,84.2552490234375,100.2733154296875
amp180_freq5,180,5,43,Section 3 (32-63),100,1584.9912109375,1525.196533203125,1625.3311767578125,1667.58203125,1688.5894775390625,-59.794677734375,40.3399658203125,82.5908203125,103.5982666015625
amp180_freq5,180,5,44,Section 3 (32-63),100,1460.877197265625,1401.219970703125,1493.29150390625,1529.22021484375,1553.27099609375,-59.6572265625,32.414306640625,68.343017578125,92.393798828125
amp180_freq5,180,5,45,Section 3 (32-63),100,1202.4190673828125,1150.9122314453125,1221.6546630859375,1245.850830078125,1268.99169921875,-51.5068359375,19.235595703125,43.4317626953125,66.5726318359375
amp180_freq5,180,5,46,Section 3 (32-63),100,935.9603881835938,895.4389038085938,944.0162963867188,954.2127075195312,975.133056640625,-40.521484375,8.055908203125,18.2523193359375,39.17266845703125
amp180_freq5,180,5,47,Section 3 (32-63),100,757.2636108398438,723.3665771484375,759.45263671875,761.5445556640625,779.2327270507812,-33.89703369140625,2.18902587890625,4.28094482421875,21.9691162109375
amp180_freq5,180,5,48,Section 3 (32-63),100,648.6348876953125,625.882568359375,653.3162841796875,654.4838256835938,659.467529296875,-22.7523193359375,4.681396484375,5.84893798828125,10.8326416015625
amp180_freq5,180,5,49,Section 3 (32-63),100,579.2205810546875,557.2980346679688,580.7662963867188,576.49365234375,587.4586181640625,-21.92254638671875,1.54571533203125,-2.7269287109375,8.238037109375
amp180_freq5,180,5,50,Section 3 (32-63),100,521.7376098632812,499.5093078613281,519.6234741210938,509.59576416015625,527.6373901367188,-22.228302001953125,-2.1141357421875,-12.141845703125,5.8997802734375
amp180_freq5,180,5,51,Section 3 (32-63),100,495.3313903808594,473.1275329589844,491.19598388671875,475.705322265625,501.54327392578125,-22.203857421875,-4.135406494140625,-19.626068115234375,6.211883544921875
amp180_freq5,180,5,52,Section 3 (32-63),100,482.11138916015625,456.9109191894531,476.2993469238281,458.3649597167969,490.6316833496094,-25.200469970703125,-5.812042236328125,-23.746429443359375,8.520294189453125
amp180_freq5,180,5,53,Section 3 (32-63),100,480.2220153808594,453.2060852050781,473.9953918457031,453.8504943847656,492.3137512207031,-27.01593017578125,-6.22662353515625,-26.37152099609375,12.09173583984375
amp180_freq5,180,5,54,Section 3 (32-63),100,491.8630065917969,460.96820068359375,485.7593994140625,464.72576904296875,507.96124267578125,-30.894805908203125,-6.103607177734375,-27.137237548828125,16.098236083984375
amp180_freq5,180,5,55,Section 3 (32-63),100,518.9863891601562,485.8560485839844,512.7346801757812,492.08319091796875,539.5999755859375,-33.130340576171875,-6.251708984375,-26.9031982421875,20.61358642578125
amp180_freq5,180,5,56,Section 3 (32-63),100,564.3145751953125,529.7577514648438,558.5115966796875,541.0613403320312,589.655517578125,-34.55682373046875,-5.802978515625,-23.25323486328125,25.3409423828125
amp180_freq5,180,5,57,Section 3 (32-63),100,623.633544921875,589.1813354492188,620.130126953125,607.45654296875,654.2792358398438,-34.45220947265625,-3.50341796875,-16.177001953125,30.64569091796875
amp180_freq5,180,5,58,Section 3 (32-63),100,691.6254272460938,658.4811401367188,690.326416015625,682.9273681640625,726.8409423828125,-33.144287109375,-1.29901123046875,-8.69805908203125,35.21551513671875
amp180_freq5,180,5,59,Section 3 (32-63),100,797.2503662109375,759.8273315429688,799.6786499023438,800.7637329101562,839.099365234375,-37.42303466796875,2.42828369140625,3.51336669921875,41.8489990234375
amp180_freq5,180,5,60,Section 3 (32-63),100,935.9059448242188,892.6558227539062,943.9566650390625,954.0552978515625,986.2452392578125,-43.2501220703125,8.05072021484375,18.14935302734375,50.33929443359375
amp180_freq5,180,5,61,Section 3 (32-63),100,1104.7213134765625,1054.8636474609375,1118.6314697265625,1137.9305419921875,1165.9173583984375,-49.857666015625,13.91015625,33.209228515625,61.196044921875
amp180_freq5,180,5,62,Section 3 (32-63),100,1442.2353515625,1377.8875732421875,1471.687255859375,1500.1600341796875,1528.412109375,-64.3477783203125,29.451904296875,57.9246826171875,86.1767578125
amp180_freq5,180,5,63,Section 3 (32-63),100,1443.236083984375,1377.4337158203125,1473.961181640625,1501.6834716796875,1531.0162353515625,-65.8023681640625,30.72509765625,58.4473876953125,87.7801513671875
amp180_freq5,180,5,64,Section 2 (64-95),100,1439.0142822265625,1375.1407470703125,1468.2723388671875,1496.4556884765625,1525.4766845703125,-63.87353515625,29.258056640625,57.44140625,86.46240234375
amp180_freq5,180,5,65,Section 2 (64-95),100,1629.71875,1564.7205810546875,1666.721435546875,1698.6915283203125,1729.9700927734375,-64.9981689453125,37.002685546875,68.9727783203125,100.2513427734375
amp180_freq5,180,5,66,Section 2 (64-95),100,1740.726318359375,1673.7315673828125,1786.0643310546875,1816.8165283203125,1846.5838623046875,-66.9947509765625,45.3380126953125,76.0902099609375,105.8575439453125
amp180_freq5,180,5,67,Section 2 (64-95),100,1751.092041015625,1692.5792236328125,1798.721435546875,1832.40673828125,1854.8680419921875,-58.5128173828125,47.62939453125,81.314697265625,103.7760009765625
amp180_freq5,180,5,68,Section 2 (64-95),100,811.4774780273438,810.2756958007812,869.3375854492188,871.429931640625,881.6878051757812,-1.2017822265625,57.860107421875,59.95245361328125,70.2103271484375
amp180_freq5,180,5,69,Section 2 (64-95),100,531.5157470703125,547.7239379882812,587.6704711914062,572.8245239257812,584.9336547851562,16.20819091796875,56.15472412109375,41.30877685546875,53.41790771484375
amp180_freq5,180,5,70,Section 2 (64-95),100,505.6120300292969,520.128173828125,552.113525390625,544.2938232421875,550.1898803710938,14.516143798828125,46.501495361328125,38.681793212890625,44.577850341796875
amp180_freq5,180,5,71,Section 2 (64-95),100,705.9035034179688,706.6119995117188,754.57666015625,757.1395263671875,762.9607543945312,0.70849609375,48.67315673828125,51.23602294921875,57.0572509765625
amp180_freq5,180,5,72,Section 2 (64-95),100,1506.8209228515625,1481.175537109375,1545.9697265625,1588.068359375,1592.8887939453125,-25.6453857421875,39.1488037109375,81.2474365234375,86.06787109375
amp180_freq5,180,5,73,Section 2 (64-95),100,699.645263671875,705.3668823242188,745.7662963867188,748.3473510742188,760.7897338867188,5.72161865234375,46.12103271484375,48.70208740234375,61.14447021484375
amp180_freq5,180,5,74,Section 2 (64-95),100,494.64990234375,520.591064453125,539.8203125,524.76806640625,542.2012329101562,25.941162109375,45.17041015625,30.1181640625,47.55133056640625
