condition,amplitude,frequency,trial_number,on_delta,off_delta,on_minus_off,condition_repeat_index,condition_repeat_fraction,epoch
amp180_freq5,180,5,865,17.52732213338216,26.024016698201496,-8.496694564819336,74,0.36683417085427134,middle
amp250_freq10,250,10,866,-15.957906723022461,-24.23572540283203,8.27781867980957,78,0.3869346733668342,middle
amp100_freq50,100,50,867,11.084999720255533,-5.150397618611653,16.235397338867188,68,0.33668341708542715,middle
amp250_freq26,250,26,868,-8.20940081278483,-10.210144678751627,2.000743865966797,68,0.33668341708542715,middle
amp180_freq5,180,5,869,-5.087253570556641,6.862146377563477,-11.949399948120117,75,0.37185929648241206,middle
amp250_freq5,250,5,870,5.2902571360270185,0.09150568644205655,5.198751449584961,68,0.33668341708542715,middle
amp100_freq10,100,10,871,21.90526835123698,23.71014658610026,-1.8048782348632815,79,0.39195979899497485,middle
amp100_freq26,100,26,872,24.77721341451009,34.06760787963867,-9.29039446512858,67,0.3316582914572864,early
amp100_freq10,100,10,873,22.704553604125977,9.48030916849772,13.224244435628256,80,0.3969849246231156,middle
amp180_freq10,180,10,874,33.4636484781901,44.628884633382164,-11.165236155192057,76,0.3768844221105528,middle
amp180_freq26,180,26,875,-6.039787292480469,-12.810858408610025,6.771071116129558,76,0.3768844221105528,middle
amp250_freq10,250,10,876,19.35925547281901,12.880457560221354,6.478797912597656,79,0.39195979899497485,middle
amp250_freq10,250,10,877,-2.3382568359375,-5.55363655090332,3.2153797149658203,80,0.3969849246231156,middle
amp180_freq10,180,10,878,11.843402226765951,44.08298428853353,-32.23958206176758,77,0.38190954773869346,middle
amp250_freq10,250,10,879,-44.74337832132975,-32.58015251159668,-12.163225809733072,81,0.4020100502512563,middle
amp180_freq50,180,50,880,-42.243089040120445,-12.663384755452475,-29.57970428466797,88,0.4371859296482412,middle
amp180_freq26,180,26,881,-30.820515314737957,-28.197228749593098,-2.623286565144857,77,0.38190954773869346,middle
amp250_freq50,250,50,882,-24.657072067260742,-3.456648508707682,-21.20042355855306,57,0.2814070351758794,early
amp250_freq26,250,26,883,-18.4159361521403,-8.446755727132162,-9.969180425008139,69,0.3417085427135678,middle
amp250_freq50,250,50,884,-10.5428835550944,16.02938969930013,-26.57227325439453,58,0.2864321608040201,early
