trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
176,amp250_freq10,250,10,3836.780025,3839.780025,3836.780025,3839.780025,3839.780025,3842.780025
177,amp180_freq10,180,10,3842.780025,3845.780025,3842.780025,3845.780025,3845.780025,3848.780025
178,amp250_freq50,250,50,3848.780025,3851.780025,3848.780025,3851.780025,3851.780025,3854.780025
179,amp180_freq50,180,50,3854.780025,3857.780025,3854.780025,3857.780025,3857.780025,3860.780025
180,amp180_freq10,180,10,3860.780025,3863.780025,3860.780025,3863.780025,3863.780025,3866.780025
181,amp250_freq50,250,50,3866.780025,3869.780025,3866.780025,3869.780025,3869.780025,3872.780025
182,amp250_freq10,250,10,3872.780025,3875.780025,3872.780025,3875.780025,3875.780025,3878.780025
183,amp250_freq5,250,5,3878.780025,3881.780025,3878.780025,3881.780025,3881.780025,3884.780025
184,amp100_freq50,100,50,3884.780025,3887.780025,3884.780025,3887.780025,3887.780025,3890.780025
185,amp180_freq50,180,50,3890.780025,3893.780025,3890.780025,3893.780025,3893.780025,3896.780025
186,amp250_freq5,250,5,3896.780025,3899.780025,3896.780025,3899.780025,3899.780025,3902.780025
187,amp250_freq5,250,5,3902.780025,3905.780025,3902.780025,3905.780025,3905.780025,3908.780025
188,amp250_freq26,250,26,3908.780025,3911.780025,3908.780025,3911.780025,3911.780025,3914.780025
189,amp180_freq10,180,10,3914.780025,3917.780025,3914.780025,3917.780025,3917.780025,3920.780025
190,amp180_freq10,180,10,3920.780025,3923.780025,3920.780025,3923.780025,3923.780025,3926.780025
191,amp180_freq10,180,10,3926.780025,3929.780025,3926.780025,3929.780025,3929.780025,3932.780025
192,amp180_freq50,180,50,3932.780025,3935.780025,3932.780025,3935.780025,3935.780025,3938.780025
193,amp250_freq26,250,26,3938.780025,3941.780025,3938.780025,3941.780025,3941.780025,3944.780025
194,amp100_freq5,100,5,3944.780025,3947.780025,3944.780025,3947.780025,3947.780025,3950.780025
195,amp250_freq5,250,5,3950.780025,3953.780025,3950.780025,3953.780025,3953.780025,3956.780025
196,amp250_freq5,250,5,3956.780025,3959.780025,3956.780025,3959.780025,3959.780025,3962.780025
197,amp250_freq10,250,10,3962.780025,3965.780025,3962.780025,3965.780025,3965.780025,3968.780025
198,amp180_freq26,180,26,3968.780025,3971.780025,3968.780025,3971.780025,3971.780025,3974.780025
199,amp180_freq10,180,10,3974.780025,3977.780025,3974.780025,3977.780025,3977.780025,3980.780025
200,amp250_freq5,250,5,3980.780025,3983.780025,3980.780025,3983.780025,3983.780025,3986.780025
201,amp100_freq50,100,50,3986.780025,3989.780025,3986.780025,3989.780025,3989.780025,3992.780025
202,amp180_freq50,180,50,3992.780025,3995.780025,3992.780025,3995.780025,3995.780025,3998.780025
203,amp250_freq50,250,50,3998.780025,4001.780025,3998.780025,4001.780025,4001.780025,4004.780025
204,amp180_freq50,180,50,4004.780025,4007.780025,4004.780025,4007.780025,4007.780025,4010.780025
205,amp180_freq26,180,26,4010.780025,4013.780025,4010.780025,4013.780025,4013.780025,4016.780025
206,amp250_freq50,250,50,4016.780025,4019.780025,4016.780025,4019.780025,4019.780025,4022.780025
207,amp100_freq10,100,10,4022.780025,4025.780025,4022.780025,4025.780025,4025.780025,4028.780025
208,amp100_freq50,100,50,4028.780025,4031.780025,4028.780025,4031.780025,4031.780025,4034.780025
209,amp180_freq5,180,5,4034.780025,4037.780025,4034.780025,4037.780025,4037.780025,4040.780025
210,amp100_freq5,100,5,4040.780025,4043.780025,4040.780025,4043.780025,4043.780025,4046.780025
211,amp100_freq5,100,5,4046.780025,4049.780025,4046.780025,4049.780025,4049.780025,4052.780025
212,amp250_freq50,250,50,4052.780025,4055.780025,4052.780025,4055.780025,4055.780025,4058.780025
213,amp180_freq5,180,5,4058.780025,4061.780025,4058.780025,4061.780025,4061.780025,4064.780025
214,amp180_freq5,180,5,4064.780025,4067.780025,4064.780025,4067.780025,4067.780025,4070.780025
215,amp250_freq5,250,5,4070.780025,4073.780025,4070.780025,4073.780025,4073.780025,4076.780025
216,amp180_freq10,180,10,4076.780025,4079.780025,4076.780025,4079.780025,4079.780025,4082.780025
217,amp180_freq10,180,10,4082.780025,4085.780025,4082.780025,4085.780025,4085.780025,4088.780025
218,amp180_freq50,180,50,4088.780025,4091.780025,4088.780025,4091.780025,4091.780025,4094.780025
219,amp100_freq26,100,26,4094.780025,4097.780025,4094.780025,4097.780025,4097.780025,4100.780025
220,amp180_freq5,180,5,4100.780025,4103.780025,4100.780025,4103.780025,4103.780025,4106.780025
221,amp180_freq5,180,5,4106.780025,4109.780025,4106.780025,4109.780025,4109.780025,4112.780025
