condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_5hz_power,stim_5hz_power,five_hz_log2_power_change,pre_26hz_power,stim_26hz_power,twenty_six_hz_log2_power_change,driven_pre_power,driven_stim_power,driven_log2_power_change
amp250_freq5,250,5,6,Group 0-31,Physical Shank A (0-63),200,406638607836.85114,399587512915.69714,-0.025235697006992214,17599854761.434006,15832503726.857197,-0.15267410441178392,406638607836.85114,399587512915.69714,-0.025235697006992214
amp250_freq5,250,5,7,Group 0-31,Physical Shank A (0-63),200,385198699226.46,376722561617.26025,-0.032100393626038816,15653128386.750185,13825213005.887459,-0.17914931030794054,385198699226.46,376722561617.26025,-0.032100393626038816
amp250_freq5,250,5,8,Group 0-31,Physical Shank A (0-63),200,298046340202.8021,291597530872.89795,-0.03155815457533412,11747463155.867271,10272910034.893663,-0.19350432729211622,298046340202.8021,291597530872.89795,-0.03155815457533412
amp250_freq5,250,5,9,Group 0-31,Physical Shank A (0-63),200,200971416125.72052,197035072266.9724,-0.028537871129383212,8128930802.963358,7229414610.205341,-0.1691867752382815,200971416125.72052,197035072266.9724,-0.028537871129383212
amp250_freq5,250,5,10,Group 0-31,Physical Shank A (0-63),200,129820951435.67998,128300812199.03494,-0.016992931260510255,6127684655.715958,5558562034.393312,-0.14063033994305593,129820951435.67998,128300812199.03494,-0.016992931260510255
amp250_freq5,250,5,11,Group 0-31,Physical Shank A (0-63),200,85052842416.68811,84153813647.6847,-0.015330798233018672,5339194252.714235,4940726515.087681,-0.11189883842822264,85052842416.68811,84153813647.6847,-0.015330798233018672
amp250_freq5,250,5,12,Group 0-31,Physical Shank A (0-63),200,60992748339.41292,59690992235.06944,-0.031124489646795546,5004290380.958001,4726290528.128884,-0.08245719090013734,60992748339.41292,59690992235.06944,-0.031124489646795546
amp250_freq5,250,5,13,Group 0-31,Physical Shank A (0-63),200,52867653011.061356,51331089957.132996,-0.04255238676143341,4802122098.709444,4569597097.238082,-0.07160511795317182,52867653011.061356,51331089957.132996,-0.04255238676143341
amp250_freq5,250,5,14,Group 0-31,Physical Shank A (0-63),200,50611104203.18943,48761694131.69562,-0.053705700052949,4809787751.67843,4607118673.370768,-0.062108471186826726,50611104203.18943,48761694131.69562,-0.053705700052949
amp250_freq5,250,5,15,Group 0-31,Physical Shank A (0-63),200,52082301202.3887,49530371236.85714,-0.07247975968583949,4949093713.441692,4761418749.322899,-0.05577284636626676,52082301202.3887,49530371236.85714,-0.07247975968583949
amp250_freq5,250,5,16,Group 0-31,Physical Shank A (0-63),200,38377976689.26342,35214829779.26946,-0.12409554468668119,3530832220.082888,3115033533.0858655,-0.18076057416575084,38377976689.26342,35214829779.26946,-0.12409554468668119
amp250_freq5,250,5,17,Group 0-31,Physical Shank A (0-63),200,40247042689.0329,36038745641.09759,-0.1593339815769431,3731878228.520155,3253863166.8746805,-0.19774832837202833,40247042689.0329,36038745641.09759,-0.1593339815769431
amp250_freq5,250,5,18,Group 0-31,Physical Shank A (0-63),200,45739608377.46113,40047817839.42602,-0.19172037950249377,4049126039.7911067,3456407340.8618994,-0.22833730093342713,45739608377.46113,40047817839.42602,-0.19172037950249377
amp250_freq5,250,5,19,Group 0-31,Physical Shank A (0-63),200,50085184785.971924,43614872739.140045,-0.19956373671585115,4256879009.369089,3595539483.6451616,-0.24358783343515902,50085184785.971924,43614872739.140045,-0.19956373671585115
amp250_freq5,250,5,20,Group 0-31,Physical Shank A (0-63),200,56411476202.93092,49692868692.09822,-0.18294986174672986,4500617806.51316,3763760696.8602595,-0.25794815274260274,56411476202.93092,49692868692.09822,-0.18294986174672986
amp250_freq5,250,5,21,Group 0-31,Physical Shank A (0-63),200,64540789662.744934,57976131864.03539,-0.1547521486625941,4743444514.672563,3951957360.436076,-0.26336769060024756,64540789662.744934,57976131864.03539,-0.1547521486625941
amp250_freq5,250,5,22,Group 0-31,Physical Shank A (0-63),200,73289409994.78467,67693312237.17934,-0.11459144043623411,5044566593.201607,4240128357.157108,-0.25062238598280095,73289409994.78467,67693312237.17934,-0.11459144043623411
amp250_freq5,250,5,23,Group 0-31,Physical Shank A (0-63),200,85555255785.08112,82115088393.65189,-0.059209147198492885,5493504903.535334,4743093031.803896,-0.21189872891767145,85555255785.08112,82115088393.65189,-0.059209147198492885
amp250_freq5,250,5,24,Group 0-31,Physical Shank A (0-63),200,156573519421.58786,163305287895.1161,0.0607312700329926,9358175538.816488,8583882040.219425,-0.12459704003887369,156573519421.58786,163305287895.1161,0.0607312700329926
amp250_freq5,250,5,25,Group 0-31,Physical Shank A (0-63),200,156191453866.03888,162857768955.27713,0.06029702611060368,9376852235.271961,8597019678.623985,-0.1252670894999146,156191453866.03888,162857768955.27713,0.06029702611060368
amp250_freq5,250,5,26,Group 0-31,Physical Shank A (0-63),200,156648543395.03586,163317772552.39725,0.06015044148308913,9355651018.500597,8572543332.474126,-0.12611475603420416,156648543395.03586,163317772552.39725,0.06015044148308913
amp250_freq5,250,5,27,Group 0-31,Physical Shank A (0-63),200,154951596362.38318,161547421757.96475,0.06014010774349707,9357718297.764532,8577780701.41097,-0.1255523661846216,154951596362.38318,161547421757.96475,0.06014010774349707
amp250_freq5,250,5,28,Group 0-31,Physical Shank A (0-63),200,156986567163.6201,163716062699.69113,0.06055475850403518,9399457246.535845,8614223146.09794,-0.12585675738042407,156986567163.6201,163716062699.69113,0.06055475850403518
amp250_freq5,250,5,29,Group 0-31,Physical Shank A (0-63),200,245582045605.7147,259980909186.16476,0.08220059796985758,14767828388.043385,13828910563.794958,-0.09477018711105036,245582045605.7147,259980909186.16476,0.08220059796985758
amp250_freq5,250,5,30,Group 0-31,Physical Shank A (0-63),200,254746401809.88696,269577889198.39874,0.08164040235138834,15350571254.290247,14436142902.960981,-0.0886070152571634,254746401809.88696,269577889198.39874,0.08164040235138834
amp250_freq5,250,5,31,Group 0-31,Physical Shank A (0-63),200,248315822557.38074,262043884161.44357,0.07763224609452343,14756431725.06586,13925637637.295414,-0.08360051505962227,248315822557.38074,262043884161.44357,0.07763224609452343
amp250_freq5,250,5,32,Group 32-63,Physical Shank A (0-63),200,401138793685.19324,393172130093.8055,-0.02894043409444074,20356170542.951263,18561521497.271915,-0.13315120955112827,401138793685.19324,393172130093.8055,-0.02894043409444074
amp250_freq5,250,5,33,Group 32-63,Physical Shank A (0-63),200,416989150891.3392,412145658502.72363,-0.016855550764333177,21786874431.63048,20250307371.843456,-0.10551543442882556,416989150891.3392,412145658502.72363,-0.016855550764333177
amp250_freq5,250,5,34,Group 32-63,Physical Shank A (0-63),200,394343439099.36176,391685909526.6679,-0.009755410153559732,20634543253.73471,19372958774.92914,-0.09101719526543753,394343439099.36176,391685909526.6679,-0.009755410153559732
amp250_freq5,250,5,35,Group 32-63,Physical Shank A (0-63),200,362547317705.23804,361999633454.9528,-0.0021810636317921906,18837374204.90313,17807265249.064194,-0.08113190605992018,362547317705.23804,361999633454.9528,-0.0021810636317921906
amp250_freq5,250,5,36,Group 32-63,Physical Shank A (0-63),200,331815322494.2458,332965956891.3046,0.004994172512671899,17068154250.295189,16209561358.071241,-0.07446200274167232,331815322494.2458,332965956891.3046,0.004994172512671899
amp250_freq5,250,5,37,Group 32-63,Physical Shank A (0-63),200,309011771679.3648,311355222015.23254,0.01089967807443699,15576420052.650463,14799744362.961264,-0.07379143886589594,309011771679.3648,311355222015.23254,0.01089967807443699
