dataset,cluster_id,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,firing_rate_hz,refractory_pct,burst_pct,cv2,cell_type,type_posterior,narrow_by_litcut,on50_minus_base_hz
dec3_dHPC,157,104,0.65,0.25,0.12951457063800906,4.227374064922011,0.017778963041980577,0.18001200080005333,0.8990244137405837,pyramidal-like,0.9999761892198572,False,
dec3_dHPC,158,106,0.4,0.25,0.2082592408316069,12.950525406097253,0.250272034820457,1.1802684076895176,0.6889360700133871,interneuron-like,0.9666950493555767,True,
dec3_dHPC,160,106,1.55,0.2,0.0898613278247938,0.28428005512365007,0.0,0.5289256198347108,1.1285694618989013,pyramidal-like,1.0,False,
dec3_dHPC,168,111,0.75,0.2,0.07951966193173417,0.7952513769404156,0.0945179584120983,8.660207939508506,1.1868291076872959,pyramidal-like,1.0,False,
dec3_dHPC,169,110,0.75,0.3,0.04527672660066294,0.6250215488227507,0.0,40.24353577871317,1.1057571496043754,pyramidal-like,1.0,False,
dec3_dHPC,173,112,0.3,0.2,0.18546568653671813,8.434361886631255,0.4878700795295061,9.793045066720133,0.9956585410921664,interneuron-like,0.9923144396070738,True,
dec3_dHPC,174,112,0.9,0.35,0.04721626834038289,1.7100018385197218,0.0,25.328278666007364,1.2386592670781642,pyramidal-like,1.0,False,
dec3_dHPC,175,112,0.7,0.25,0.16811721438208094,0.8176104823995791,0.10342450011491611,5.826246839806941,1.1842271875387067,pyramidal-like,0.9999999999999964,False,
dec3_dHPC,177,111,0.15,0.1,0.4988190047723958,14.391278520894442,0.02284804094368937,10.356690559189483,0.9364426988398338,interneuron-like,0.9978571287450225,True,
dec3_dHPC,178,113,0.25,0.2,0.29410546517799874,4.7105374236467075,0.43478260869565216,2.9537295572397286,1.002835819972706,interneuron-like,0.9563536778534303,True,
dec3_dHPC,181,113,0.8,0.15,0.079124445556403,0.48936378292765803,0.03840245775729647,16.762672811059907,1.3494473622245713,pyramidal-like,1.0,False,
dec3_dHPC,182,113,0.55,0.25,0.10133801388982602,2.281192431762218,0.11531650261521353,0.46126601046085414,0.9476063790765896,pyramidal-like,0.9999844971810318,False,
dec3_dHPC,183,113,0.7,0.2,0.10656210815979061,1.148393719045439,0.27816411682892905,16.542583653767487,1.262643122014942,pyramidal-like,0.9999999999992026,False,
dec3_dHPC,187,115,0.25,0.2,0.168460833586089,9.629634570483931,0.5326777299733662,8.895522970507605,0.9720597992545712,interneuron-like,0.9967283605648861,True,
dec3_dHPC,191,115,0.25,0.2,0.23820267024765426,12.19322814094466,0.18183359144457542,11.324534436662583,0.9805324260650605,interneuron-like,0.9973223780889824,True,
dec4_dHPC,0,1,0.75,0.3,0.1071737468131544,4.853595043727515,0.07157301583694986,0.39649178614437297,0.9433290721154649,pyramidal-like,0.9999998606799302,False,-0.2056
