channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
57,829.34644,490.5,5566.0,4962.0,0.000875,0.0,52.0,-0.34437551192291044,-0.3992601322241681,-0.3398576572971141,0.337244875,-0.5024815182837462,,False
58,932.3292,557.0,6294.5,5349.0,0.0007,0.0,51.0,-0.1915790277527808,-0.2421548139229422,-0.1495164669523533,0.0,-0.4259675117616884,,False
59,1084.9336,656.25,7079.5,6490.0,0.000625,0.0,51.0,0.03484144168960255,-0.007678079465849387,0.055586943371102066,0.0,-0.20037970441887734,,False
60,1276.677,780.0,8501.5,8150.0,0.0006,0.0,51.0,0.31933285215507784,0.2846795617338004,0.4271245860207244,0.0,0.12781991012018173,,False
61,1503.0354,915.5,10011.5,10268.0,0.0004,0.0,47.0,0.6551828333652318,0.6047964133099825,0.8216547128849505,-1.3489795,0.5465709845742341,,False
62,1978.1399,1229.0,12988.0,14828.0,0.000325,0.0,32.0,1.3600996196451494,1.3454357710157618,1.5993493636209568,-6.407652625,1.4481313715008062,,False
63,1979.2305,1222.5,13014.0,14832.0,0.00035,0.0,33.0,1.3617177172698045,1.330079612084063,1.6061425975934536,-6.07040775,1.4489222139454785,,False
64,1972.3792,1223.75,12921.0,14772.0,0.00035,0.0,34.0,1.3515523549146002,1.3330327195709282,1.5818437222302923,-5.733162875,1.437059577275392,,False
65,2222.9058,1403.5,14497.0,16850.0,0.0004,0.0,51.5,1.7232609298470478,1.7576895761821367,1.9936182122554715,0.1686224375,1.8479022272827204,,False
66,2385.8193,1513.75,15618.0,18193.0,0.00045,0.0,53.0,1.964977257661381,2.0181536565236424,2.28651110776196,0.67448975,2.113427578081489,,False
67,2397.593,1513.0,15346.5,18105.0,0.000275,0.0,52.0,1.982445974462141,2.0163817920315235,2.2155740683953127,0.337244875,2.0960290442986955,,False
68,1114.5422,737.5,6379.5,8102.0,0.000525,0.0,37.0,0.07877204962004834,0.18427390718038528,-0.1273078174268836,-4.72142825,0.11832980078411257,,False
69,734.61774,485.5,4066.5,4458.0,0.000975,0.0,33.0,-0.4849253298589772,-0.4110725621716287,-0.7316443627493705,-6.07040775,-0.6021276663124725,,False
70,687.88025,461.25,3878.0,4301.0,0.00115,0.0,33.0,-0.5542701587031006,-0.4683628474168126,-0.780895309049971,-6.07040775,-0.6331682322658654,,False
71,969.4281,662.75,5605.0,6547.0,0.00055,0.0,38.0,-0.13653509205774586,0.007678079465849387,-0.3296678063383692,-4.384183375,-0.18911019958229516,,False
72,2091.3813,1352.0,13237.5,13911.0,0.000475,0.0,50.0,1.5281169798258445,1.6360215477232924,1.664538281933953,-0.337244875,1.266830741059651,,False
73,958.08563,647.5,5626.0,6567.0,0.000525,0.0,37.5,-0.15336401370973757,-0.028349831873905426,-0.3241809635144296,-4.5528058125,-0.18515598735893302,,False
74,674.0536,471.0,3743.0,3954.0,0.0009,0.0,33.0,-0.574784898097486,-0.44532860901926447,-0.8161678700610111,-6.07040775,-0.7017738143411989,,False
75,696.42554,472.0,3858.5,4009.0,0.00085,0.0,33.0,-0.5415914383070033,-0.44296612302977234,-0.7859902345293435,-6.07040775,-0.690899730726953,,False
76,1037.9683,654.5,5849.5,7144.0,0.00075,0.0,37.0,-0.03484144168960255,-0.011812429947460595,-0.2657852791739299,-4.72142825,-0.07107696471493478,,False
77,2093.8416,1279.5,13167.0,16128.0,0.000375,0.0,51.0,1.5317672081141027,1.464741313485114,1.6461181667392988,0.0,1.7051551660193465,,False
78,1695.6837,1032.5,10439.5,11453.0,0.000325,0.0,51.0,0.9410168627798416,0.8812072740805604,0.9334817952014333,0.0,0.7808580588084421,,False
79,736.9823,449.5,4287.5,4767.0,0.0008,0.0,37.5,-0.4814170065952227,-0.49612205779334495,-0.6739018739831494,-4.5528058125,-0.5410350874615272,,False
80,397.8356,268.0,2553.5,1957.0,0.001475,0.0,37.0,-0.9846119970898187,-0.9249132648861647,-1.126958324302731,-4.72142825,-1.0966019048439104,,False
81,819.22205,530.5,5448.5,4342.0,0.000725,0.0,45.0,-0.35939715943704437,-0.3047606926444834,-0.3705578492882045,-2.0234692499999998,-0.6250620972079731,,False
82,808.6385,527.5,5223.5,4862.0,0.000725,0.0,53.0,-0.3751000778505672,-0.31184815061295973,-0.42934545097327137,0.67448975,-0.5222525794005569,,False
83,790.2455,518.0,5278.0,5981.0,0.000825,0.0,53.0,-0.4023899444997418,-0.33429176751313483,-0.4151057874539996,0.67448975,-0.3010144055034442,,False
84,747.5962,485.0,5347.0,6613.0,0.0007,0.0,55.5,-0.4656690806531878,-0.4122538051663748,-0.39707758960391243,1.5176019375,-0.17606129924520006,,False
85,654.0326,413.5,5302.5,5936.0,0.00095,0.0,53.0,-0.6044902291490798,-0.5811715534150612,-0.40870447082607014,0.67448975,-0.30991138300600907,,False
86,585.872,361.5,4782.5,4474.0,0.00095,0.0,47.0,-0.7056206967811737,-0.7040208248686515,-0.5445691502760023,-1.3489795,-0.5989642965337828,,False
87,580.27826,351.25,4138.0,3310.0,0.00105,0.0,51.5,-0.7139201937088877,-0.7282363062609457,-0.7129629693250048,0.1686224375,-0.8290994479334604,,False
88,311.02087,187.0,1946.5,1883.0,0.0018,0.0,37.0,-1.1134197855174433,-1.1162746300350261,-1.2855542097375556,-4.72142825,-1.1112324900703503,,False
