channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected,exclude_auto,fiftyhz_on_minus_off,bad,shank_group,region
128,LEC,B_LEC_128-191,5,1560.0,0.0,True,False,True,36.29988221772027,True,5,LEC
129,LEC,B_LEC_128-191,5,1560.0,20.0,True,False,True,8.617038597840605,True,5,LEC
130,LEC,B_LEC_128-191,5,1560.0,40.0,True,False,True,4.092211418634477,True,5,LEC
131,LEC,B_LEC_128-191,5,1560.0,60.0,True,False,True,3.0387752494596434,True,5,LEC
132,LEC,B_LEC_128-191,5,1560.0,80.0,True,False,True,1.873561632678232,True,5,LEC
133,LEC,B_LEC_128-191,5,1560.0,100.0,True,False,True,1.0946377626572357,True,5,LEC
134,LEC,B_LEC_128-191,5,1560.0,120.0,True,False,True,0.9680692779240267,True,5,LEC
135,LEC,B_LEC_128-191,5,1560.0,140.0,True,False,True,1.9521985571724656,True,5,LEC
136,LEC,B_LEC_128-191,5,1560.0,160.0,False,True,False,15.390643997256106,False,5,LEC
137,LEC,B_LEC_128-191,5,1560.0,180.0,True,False,True,3.3191985977372163,True,5,LEC
138,LEC,B_LEC_128-191,5,1560.0,200.0,True,False,True,1.0590697297717497,True,5,LEC
139,LEC,B_LEC_128-191,5,1560.0,220.0,True,False,True,0.9456390689367602,True,5,LEC
140,LEC,B_LEC_128-191,5,1560.0,240.0,True,False,True,0.292696629647601,True,5,LEC
141,LEC,B_LEC_128-191,5,1560.0,260.0,True,False,True,0.1640594516933973,True,5,LEC
142,LEC,B_LEC_128-191,5,1560.0,280.0,False,True,False,0.2449003494727009,False,5,LEC
143,LEC,B_LEC_128-191,5,1560.0,300.0,False,True,False,0.22584646378687268,False,5,LEC
144,LEC,B_LEC_128-191,5,1560.0,320.0,False,True,False,0.06800940982526527,False,5,LEC
145,LEC,B_LEC_128-191,5,1560.0,340.0,False,True,False,0.11365074600378477,False,5,LEC
146,LEC,B_LEC_128-191,5,1560.0,360.0,False,True,False,0.2020737242137347,False,5,LEC
147,LEC,B_LEC_128-191,5,1560.0,380.0,False,True,False,0.056930800309199725,False,5,LEC
148,LEC,B_LEC_128-191,5,1560.0,400.0,False,True,False,-0.03475812711155868,False,5,LEC
