cluster_a,cluster_b,n_spikes_a,n_spikes_b,template_similarity,n_coincident_1lag,expected_by_chance,coincidence_ratio,coincident_frac_of_smaller,flag
49,55,51048,98271,0.10334049165248871,4299,553.22,7.77,0.0842,separate
92,101,101024,21357,0.04059656709432602,1786,237.94,7.51,0.0836,separate
55,58,98271,21886,0.46092191338539124,1771,237.19,7.47,0.0809,separate
34,40,25362,143487,0.15365366637706757,2041,401.32,5.09,0.0805,separate
92,100,101024,21765,0.01913570798933506,1748,242.48,7.21,0.0803,separate
92,96,101024,17004,0.08989076316356659,1332,189.44,7.03,0.0783,separate
2,3,2601,9513,0.24042931199073792,202,2.73,74.03,0.0777,separate
95,98,232384,44662,0.09312525391578674,3460,1144.57,3.02,0.0775,separate
90,95,22872,232384,0.799324095249176,1771,586.15,3.02,0.0774,separate
45,47,23233,101773,0.1644824594259262,1795,260.76,6.88,0.0773,separate
82,83,392247,57623,0.49343183636665344,4430,2492.6,1.78,0.0769,separate
3,8,9513,58480,0.30502262711524963,723,61.35,11.78,0.076,separate
1,4,63676,15202,0.17771565914154053,1127,106.75,10.56,0.0741,separate
84,92,115873,101024,0.6255527138710022,7441,1290.93,5.76,0.0737,separate
26,33,21031,80643,0.5545520186424255,1535,187.04,8.21,0.073,separate
32,33,67856,80643,0.5283375978469849,4889,603.47,8.1,0.072,separate
92,98,101024,44662,0.16438454389572144,3187,497.58,6.41,0.0714,separate
24,27,128965,19630,0.8290483951568604,1367,279.18,4.9,0.0696,separate
82,91,392247,4586,0.1593475192785263,317,198.38,1.6,0.0691,separate
4,12,15202,57442,0.3126528859138489,1044,96.3,10.84,0.0687,separate
19,24,16539,128965,0.05577446520328522,1113,235.22,4.73,0.0673,separate
1,11,63676,40471,0.28221654891967773,2712,284.2,9.54,0.067,separate
22,24,27385,128965,0.4969303607940674,1819,389.48,4.67,0.0664,separate
90,93,22872,119884,0.7955111861228943,1507,302.39,4.98,0.0659,separate
22,27,27385,19630,0.6740509271621704,1290,59.28,21.76,0.0657,separate
54,56,18995,120242,0.31756463646888733,1221,251.88,4.85,0.0643,separate
