reference_mode,condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_power,stim_power,driven_log2_power_change
raw,amp100_freq5,100,5,63,Group 32-63,Physical Shank A (0-63),200,272050709646.73044,254512860101.5813,-0.09613703661837389
raw,amp100_freq5,100,5,64,Group 64-95,Physical Shank B (64-127),200,271877752778.0309,254263513283.51898,-0.09663365259719443
raw,amp100_freq5,100,5,65,Group 64-95,Physical Shank B (64-127),200,354829631508.3878,331823432476.4929,-0.09671072372868587
raw,amp100_freq5,100,5,68,Group 64-95,Physical Shank B (64-127),200,92118648661.87158,86735466667.54837,-0.08687120661732795
raw,amp100_freq5,100,5,69,Group 64-95,Physical Shank B (64-127),200,35446087603.143936,34598392477.38473,-0.034921388947657186
raw,amp100_freq5,100,5,70,Group 64-95,Physical Shank B (64-127),200,32502504292.040905,30883594606.461636,-0.07371020024046777
raw,amp100_freq5,100,5,71,Group 64-95,Physical Shank B (64-127),200,71599392422.71489,67728094232.538,-0.08019294409284089
raw,amp100_freq5,100,5,72,Group 64-95,Physical Shank B (64-127),200,313864198914.4231,293648100443.51807,-0.09605217120102362
raw,amp100_freq5,100,5,73,Group 64-95,Physical Shank B (64-127),200,69811597806.0379,65721758816.49702,-0.08709564181426535
raw,amp100_freq5,100,5,74,Group 64-95,Physical Shank B (64-127),200,29475503767.147034,28126620602.597874,-0.06758024650107905
raw,amp100_freq5,100,5,75,Group 64-95,Physical Shank B (64-127),200,31239257903.57705,30239721774.86516,-0.046915316417582974
raw,amp100_freq5,100,5,76,Group 64-95,Physical Shank B (64-127),200,76644703304.60522,72886263628.16234,-0.07253914943917483
raw,amp100_freq5,100,5,77,Group 64-95,Physical Shank B (64-127),200,317057435986.7349,300721417279.9074,-0.07631659310837657
raw,amp100_freq5,100,5,78,Group 64-95,Physical Shank B (64-127),200,206412597189.5341,196708199541.4368,-0.06947392407579728
raw,amp100_freq5,100,5,79,Group 64-95,Physical Shank B (64-127),200,40331127217.61242,39660423781.36105,-0.02419363509638746
raw,amp100_freq5,100,5,80,Group 64-95,Physical Shank B (64-127),200,11925021063.067976,11944146835.149183,0.0023119919854440226
raw,amp100_freq5,100,5,81,Group 64-95,Physical Shank B (64-127),200,43468246803.54439,40850804378.38487,-0.0895974226113476
raw,amp100_freq5,100,5,82,Group 64-95,Physical Shank B (64-127),200,41204983725.29913,38928917348.64944,-0.08197661883502255
raw,amp100_freq5,100,5,83,Group 64-95,Physical Shank B (64-127),200,39002693394.62329,36959011413.87652,-0.07764758726483409
raw,amp100_freq5,100,5,84,Group 64-95,Physical Shank B (64-127),200,33188017502.640842,31632348156.286297,-0.06926179706279141
raw,amp100_freq5,100,5,85,Group 64-95,Physical Shank B (64-127),200,24367487320.95214,23608608459.906628,-0.045644485066206546
raw,amp100_freq5,100,5,86,Group 64-95,Physical Shank B (64-127),200,19029487788.05743,18734740224.478096,-0.022520756048533857
raw,amp100_freq5,100,5,87,Group 64-95,Physical Shank B (64-127),200,18038461552.468536,17825971298.94626,-0.017095612437561906
raw,amp100_freq5,100,5,88,Group 64-95,Physical Shank B (64-127),200,5858026521.934776,5774919117.007412,-0.020613984550329846
raw,amp100_freq5,100,5,89,Group 64-95,Physical Shank B (64-127),200,3414248071.9755025,3447232524.499951,0.013870730079248812
raw,amp100_freq5,100,5,90,Group 64-95,Physical Shank B (64-127),200,3473863532.0845046,3508395606.4799714,0.01427035510695147
raw,amp100_freq5,100,5,91,Group 64-95,Physical Shank B (64-127),200,5513508692.942648,5127295417.14174,-0.1047726917056829
raw,amp100_freq5,100,5,92,Group 64-95,Physical Shank B (64-127),200,11266578174.208807,10528430133.775126,-0.09775907831738243
raw,amp100_freq5,100,5,93,Group 64-95,Physical Shank B (64-127),200,31082329164.56309,29362209656.829655,-0.08213407415827301
raw,amp100_freq5,100,5,94,Group 64-95,Physical Shank B (64-127),200,112518530138.42151,105554014592.92775,-0.09218116102312357
raw,amp100_freq5,100,5,95,Group 64-95,Physical Shank B (64-127),200,166620552790.96112,156106217908.36792,-0.09403836654452813
raw,amp100_freq5,100,5,96,Group 96-127,Physical Shank B (64-127),200,44134765741.65959,41615588374.50761,-0.08479150564325987
raw,amp100_freq5,100,5,97,Group 96-127,Physical Shank B (64-127),200,68688427184.85898,64654425880.69878,-0.08731791803244883
raw,amp100_freq5,100,5,98,Group 96-127,Physical Shank B (64-127),200,101930688766.3227,95935967991.53793,-0.08744476392545283
raw,amp100_freq5,100,5,99,Group 96-127,Physical Shank B (64-127),200,137537060746.22046,129380156137.93504,-0.08820406079971693
raw,amp100_freq5,100,5,100,Group 96-127,Physical Shank B (64-127),200,178511143926.82727,167803413698.3876,-0.08924207482933968
raw,amp100_freq5,100,5,101,Group 96-127,Physical Shank B (64-127),200,219800506613.32315,206681448913.39972,-0.08878580879015559
raw,amp100_freq5,100,5,102,Group 96-127,Physical Shank B (64-127),200,254592863270.27698,238977523154.6154,-0.09131704525249028
raw,amp100_freq5,100,5,103,Group 96-127,Physical Shank B (64-127),200,265101809165.65158,248800666385.4498,-0.09155616621826858
raw,amp100_freq5,100,5,104,Group 96-127,Physical Shank B (64-127),200,258061834468.50476,242520027408.50012,-0.0896129021532881
raw,amp100_freq5,100,5,105,Group 96-127,Physical Shank B (64-127),200,248379955701.79037,234002695827.02048,-0.08602360209203042
raw,amp100_freq5,100,5,106,Group 96-127,Physical Shank B (64-127),200,227460955275.19565,214657061482.11743,-0.08358528799654355
raw,amp100_freq5,100,5,107,Group 96-127,Physical Shank B (64-127),200,197573933231.48486,186160637089.04813,-0.08584456545717022
raw,amp100_freq5,100,5,108,Group 96-127,Physical Shank B (64-127),200,164114629961.916,154630023587.08,-0.08588338738009747
raw,amp100_freq5,100,5,109,Group 96-127,Physical Shank B (64-127),200,127164602278.96631,120417324151.43228,-0.07865417174271029
raw,amp100_freq5,100,5,110,Group 96-127,Physical Shank B (64-127),200,88243675229.78246,83963824280.10213,-0.07172500026829771
raw,amp100_freq5,100,5,111,Group 96-127,Physical Shank B (64-127),200,63856807877.50029,61058122991.23873,-0.06465719633572457
raw,amp100_freq5,100,5,112,Group 96-127,Physical Shank B (64-127),200,34299605638.88772,32048351293.553844,-0.09794184879712506
raw,amp100_freq5,100,5,113,Group 96-127,Physical Shank B (64-127),200,34874954785.26808,32690765656.05833,-0.09330817940552531
raw,amp100_freq5,100,5,114,Group 96-127,Physical Shank B (64-127),200,18147963219.228622,17096823243.337355,-0.08607935768061131
raw,amp100_freq5,100,5,115,Group 96-127,Physical Shank B (64-127),200,35663202760.03495,33581308094.98123,-0.08677784229771889
