trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
191,amp250_freq26,18,22.100000000136788,2483.9499999998225,2461.8499999996857,True
192,amp250_freq5,1,989.549999999781,989.549999999781,0.0,True
193,amp100_freq26,4,593.4499999998479,2434.349999999995,1840.900000000147,True
194,amp100_freq26,5,1014.850000000024,2393.999999999778,1379.149999999754,True
195,amp250_freq26,40,14.450000000124419,2810.199999999895,2795.749999999771,True
196,amp250_freq26,3,813.4000000000015,2351.7000000001644,1538.300000000163,True
197,amp250_freq5,1,1281.5999999997985,1281.5999999997985,0.0,True
198,amp250_freq5,1,2286.50000000016,2286.50000000016,0.0,True
199,amp100_freq5,1,1494.0999999998894,1494.0999999998894,0.0,True
200,amp100_freq26,2,1069.9500000000626,2146.400000000085,1076.4500000000226,True
201,amp250_freq5,1,1407.0999999999003,1407.0999999999003,0.0,True
202,amp180_freq5,2,31.25,230.95000000012078,199.70000000012078,True
203,amp180_freq26,3,568.0999999999585,1875.4500000000007,1307.3500000000422,True
204,amp100_freq5,1,1207.8999999998814,1207.8999999998814,0.0,True
205,amp180_freq5,2,1619.9499999997897,1819.6499999999105,199.70000000012078,True
206,amp100_freq26,3,518.7000000000808,824.4500000000698,305.7499999999891,True
207,amp100_freq26,2,1245.8499999997912,1405.0000000002,159.1500000004089,True
208,amp180_freq5,4,937.1000000001004,1938.7000000001535,1001.6000000000531,True
209,amp180_freq26,6,325.7499999999709,1864.0000000000327,1538.2500000000618,True
210,amp180_freq5,7,525.5999999999403,2506.9499999999607,1981.3500000000204,True
211,amp100_freq5,0,,,,False
