trial_number,condition,event,start_s,end_s
214,amp250_freq26,stim_offset_margin,2820.9,2821.2
215,amp250_freq5,stim_onset_margin,2823.95,2824.1
215,amp250_freq5,stim_offset_margin,2826.9,2827.2
216,amp180_freq26,stim_onset_margin,2829.95,2830.1
216,amp180_freq26,stim_offset_margin,2832.9,2833.2
217,amp250_freq26,stim_onset_margin,2835.95,2836.1
217,amp250_freq26,stim_offset_margin,2838.9,2839.2
218,amp100_freq5,stim_onset_margin,2841.95,2842.1
218,amp100_freq5,stim_offset_margin,2844.9,2845.2
219,amp250_freq5,stim_onset_margin,2847.95,2848.1
219,amp250_freq5,stim_offset_margin,2850.9,2851.2
220,amp250_freq5,stim_onset_margin,2853.95,2854.1
220,amp250_freq5,stim_offset_margin,2856.9,2857.2
221,amp250_freq26,stim_onset_margin,2859.95,2860.1
221,amp250_freq26,stim_offset_margin,2862.9,2863.2
222,amp100_freq5,stim_onset_margin,2865.95,2866.1
222,amp100_freq5,stim_offset_margin,2868.9,2869.2
223,amp180_freq5,stim_onset_margin,2871.95,2872.1
223,amp180_freq5,stim_offset_margin,2874.9,2875.2
224,amp100_freq26,stim_onset_margin,2877.95,2878.1
224,amp100_freq26,stim_offset_margin,2880.9,2881.2
225,amp180_freq5,stim_onset_margin,2883.95,2884.1
225,amp180_freq5,stim_offset_margin,2886.9,2887.2
226,amp250_freq5,stim_onset_margin,2889.95,2890.1
226,amp250_freq5,stim_offset_margin,2892.9,2893.2
227,amp180_freq26,stim_onset_margin,2895.95,2896.1
227,amp180_freq26,stim_offset_margin,2898.9,2899.2
228,amp100_freq5,stim_onset_margin,2901.95,2902.1
228,amp100_freq5,stim_offset_margin,2904.9,2905.2
229,amp250_freq26,stim_onset_margin,2907.95,2908.1
229,amp250_freq26,stim_offset_margin,2910.9,2911.2
230,amp180_freq5,stim_onset_margin,2913.95,2914.1
230,amp180_freq5,stim_offset_margin,2916.9,2917.2
231,amp180_freq5,stim_onset_margin,2919.95,2920.1
231,amp180_freq5,stim_offset_margin,2922.9,2923.2
232,amp100_freq5,stim_onset_margin,2925.95,2926.1
232,amp100_freq5,stim_offset_margin,2928.9,2929.2
233,amp250_freq26,stim_onset_margin,2931.95,2932.1
233,amp250_freq26,stim_offset_margin,2934.9,2935.2
234,amp100_freq5,stim_onset_margin,2937.95,2938.1
234,amp100_freq5,stim_offset_margin,2940.9,2941.2
235,amp180_freq26,stim_onset_margin,2943.95,2944.1
235,amp180_freq26,stim_offset_margin,2946.9,2947.2
236,amp180_freq5,stim_onset_margin,2949.95,2950.1
236,amp180_freq5,stim_offset_margin,2952.9,2953.2
237,amp180_freq26,stim_onset_margin,2955.95,2956.1
237,amp180_freq26,stim_offset_margin,2958.9,2959.2
238,amp250_freq5,stim_onset_margin,2961.95,2962.1
238,amp250_freq5,stim_offset_margin,2964.9,2965.2
239,amp100_freq26,stim_onset_margin,2967.95,2968.1
239,amp100_freq26,stim_offset_margin,2970.9,2971.2
240,amp100_freq5,stim_onset_margin,2973.95,2974.1
240,amp100_freq5,stim_offset_margin,2976.9,2977.2
