trial_number,condition,emg_off_raw,off_ttl_toggles,moving
328,amp250_freq26,0.7104682606828678,3,False
329,amp100_freq5,0.5194142165519084,6,False
330,amp250_freq26,0.5162004669452799,2,False
331,amp100_freq26,0.2982964652675181,1,False
332,amp180_freq5,0.31866577746658686,3,False
333,amp250_freq26,0.3342089928439304,3,False
334,amp250_freq26,0.23379522971178407,3,False
335,amp100_freq5,0.4385098204759101,1,False
336,amp180_freq5,0.2753658065429561,5,False
337,amp250_freq26,0.6050084634972219,3,False
338,amp180_freq5,0.7315225982923962,1,False
339,amp100_freq5,0.4433726962708907,3,False
340,amp180_freq26,0.3234047695316579,0,False
341,amp100_freq5,0.29938224536068414,1,False
342,amp100_freq26,0.27925305623692276,2,False
343,amp250_freq5,0.3681656396302357,2,False
344,amp100_freq5,0.665460606064164,2,False
345,amp180_freq26,0.4858146096723133,1,False
346,amp180_freq5,0.3154273722246256,3,False
347,amp100_freq5,0.48586299184881987,2,False
348,amp180_freq26,0.2663224254180728,2,False
349,amp180_freq26,0.25345898686005747,2,False
350,amp100_freq26,0.26529572513365285,2,False
351,amp100_freq5,0.23979500736855427,4,False
352,amp250_freq5,0.951500841467999,2,True
353,amp250_freq26,0.8740455039619751,5,True
354,amp250_freq5,0.4951315925775202,2,False
355,amp100_freq26,0.7470860596393224,0,False
356,amp100_freq5,0.8620121924089655,0,True
357,amp250_freq5,0.40670405688450584,1,False
358,amp250_freq5,0.3331202977797511,4,False
359,amp180_freq26,0.22414063485270833,3,False
360,amp180_freq26,0.3199023692120816,2,False
361,amp100_freq26,0.487427608629688,5,False
362,amp180_freq26,0.24608349067367233,0,False
363,amp100_freq5,0.27526525961403553,3,False
364,amp100_freq26,0.22759818350861735,2,False
365,amp100_freq5,0.5665832907499473,7,False
366,amp250_freq26,0.7279300751666009,1,False
367,amp100_freq26,0.7125109818555252,1,False
368,amp100_freq5,0.7821365786289973,1,False
369,amp100_freq26,0.36921708072549625,0,False
370,amp100_freq5,0.2558173093609753,8,False
371,amp250_freq26,0.588145469942707,1,False
372,amp100_freq26,0.20701510159072126,1,False
373,amp100_freq26,0.6456026699806243,3,False
374,amp250_freq5,0.8556966709182442,5,True
375,amp250_freq26,0.4241830233697618,1,False
376,amp180_freq5,0.23314581970428067,1,False
377,amp100_freq26,0.49968406675231286,0,False
