trial_number,condition,emg_on,emg_off,off_ttl_toggles,moving
343,amp250_freq5,0.2647153543429703,0.3643453642441277,2,False
344,amp100_freq5,0.35363373471816434,0.4808692634185736,2,False
345,amp180_freq26,0.4341385158838759,0.4514026826506339,1,False
346,amp180_freq5,0.4294346929223913,0.32400168308942046,3,False
347,amp100_freq5,0.3017766309735129,0.44071975306922856,2,False
348,amp180_freq26,0.32010825582420654,0.2818138811686982,2,False
349,amp180_freq26,0.34119856609600435,0.26091323237733327,2,False
350,amp100_freq26,0.3178080311744131,0.28491873946551954,2,False
351,amp100_freq5,0.29164686948034424,0.25095984204169325,4,False
352,amp250_freq5,0.4686079198532445,0.8585093990469549,2,True
353,amp250_freq26,0.8758104568709174,0.7439438172966151,5,True
354,amp250_freq5,0.63877278724963,0.4930499073463715,2,False
355,amp100_freq26,0.6565373832895953,0.6271460150780949,0,False
