unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
dec4_dHPC,90,amp180_freq26,200,10.67,10.755,-0.085,0.22128498266057003,-0.33333333333333215,-0.38412005630938756,0.7012995917632758,0.8587341939958479,ON<OFF,False,good,4.2,17.0,high_confidence_ks_good,10,115,4
dec4_dHPC,104,amp180_freq26,200,8.565,8.503333333333332,0.06166666666666657,0.415293062487035,-0.33333333333333215,0.1484895179740493,0.8821068161571948,0.9339954524017358,ON>OFF,False,good,16.0,17.2,manual_review,11,84,3
dec4_dHPC,109,amp180_freq26,200,0.16333333333333333,0.14666666666666667,0.016666666666666663,0.034221827026077845,0.0,0.48701861107433764,0.6267811462634325,0.8058614737672704,ON>OFF,False,good,0.0,16.3,high_confidence_ks_good,13,119,4
dec4_dHPC,113,amp180_freq26,200,1.135,1.01,0.12500000000000003,0.2530929554717714,0.0,0.49388968478793493,0.6219287762939204,0.8058614737672704,ON>OFF,False,good,0.2,25.5,high_confidence_ks_good,15,119,4
dec4_dHPC,125,amp180_freq26,200,1.2750000000000001,1.5516666666666663,-0.2766666666666666,0.12628148257756447,0.0,-2.19087281064136,0.029622415201033002,0.18172544585601685,ON<OFF,False,mua,23.1,12.2,manual_review,27,120,4
dec4_dHPC,126,amp180_freq26,200,13.28,12.96,0.32,0.4063348180580589,0.0,0.7875278853270138,0.4319098955958689,0.7587773624721666,ON>OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp180_freq26,200,0.09,0.06166666666666666,0.028333333333333335,0.02123720753319345,0.0,1.3341364814111625,0.18368386037349455,0.5357479749281318,ON>OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp180_freq26,200,7.56,7.741666666666666,-0.18166666666666664,0.31745953372919133,-0.3333333333333339,-0.5722514127474191,0.5677975626182221,0.7861812405483075,ON<OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp180_freq26,200,10.423333333333336,10.183333333333332,0.24000000000000007,0.40265839120918234,-0.16666666666666652,0.5960387396355519,0.5518266899041174,0.7856445236377231,ON>OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp180_freq26,200,9.976666666666667,9.695,0.2816666666666666,0.22064189262117204,0.3333333333333339,1.276578365606527,0.20323885331554428,0.5628152861045841,ON>OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp180_freq26,200,9.978333333333332,10.018333333333334,-0.04000000000000007,0.33257501683110857,-0.3333333333333339,-0.12027361640430512,0.9043877468587643,0.9409814707201016,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp180_freq5,200,5.34,5.265,0.075,0.13001390425149073,0.33333333333333304,0.5768613782640102,0.5646850739013812,0.7861812405483075,ON>OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
