trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
1480,amp250_freq10,250,10,B_LEC_192-255,32,-2.4052391052246094,-11.09396743774414,-11.124862670898438,-16.112571716308594,-0.030895233154296875
1481,amp100_freq26,100,26,A_dHPC_0-31,32,120.541259765625,40.53282165527344,29.46539306640625,-37.96086120605469,-11.067428588867188
1481,amp100_freq26,100,26,A_dHPC_32-63,32,-3.8013153076171875,82.96720886230469,87.21142578125,-21.53076171875,4.2442169189453125
1481,amp100_freq26,100,26,A_dHPC_64-95,32,2.6288909912109375,59.627593994140625,-9.680984497070312,-26.55144500732422,-69.30857849121094
1481,amp100_freq26,100,26,A_dHPC_96-127,31,67.47687530517578,44.563133239746094,17.00487518310547,-34.23554992675781,-27.558258056640625
1481,amp100_freq26,100,26,B_LEC_128-191,51,-28.919178009033203,6.698394775390625,4.1043548583984375,-5.0080413818359375,-2.5940399169921875
1481,amp100_freq26,100,26,B_LEC_192-255,32,2.6423377990722656,5.0800933837890625,25.18265151977539,0.24965667724609375,20.102558135986328
1482,amp180_freq26,180,26,A_dHPC_0-31,32,-46.49143981933594,6.5167236328125,-71.67544555664062,0.1671600341796875,-78.19216918945312
1482,amp180_freq26,180,26,A_dHPC_32-63,32,-67.89736938476562,-52.558807373046875,-118.81611633300781,-57.9400634765625,-66.25730895996094
1482,amp180_freq26,180,26,A_dHPC_64-95,32,21.813034057617188,-2.9895172119140625,-79.8919677734375,5.7168731689453125,-76.90245056152344
1482,amp180_freq26,180,26,A_dHPC_96-127,31,-10.697914123535156,-2.5814132690429688,-26.599197387695312,-25.584701538085938,-24.017784118652344
1482,amp180_freq26,180,26,B_LEC_128-191,51,19.081275939941406,0.12886810302734375,5.6792449951171875,-23.44626235961914,5.550376892089844
1482,amp180_freq26,180,26,B_LEC_192-255,32,-10.34914779663086,-12.497608184814453,-3.158336639404297,0.22789382934570312,9.339271545410156
1483,amp250_freq26,250,26,A_dHPC_0-31,32,-58.46385955810547,-13.01800537109375,29.965896606445312,-1.7884063720703125,42.98390197753906
1483,amp250_freq26,250,26,A_dHPC_32-63,32,-56.87225341796875,-13.551956176757812,67.947998046875,-11.509857177734375,81.49995422363281
1483,amp250_freq26,250,26,A_dHPC_64-95,32,-82.63005828857422,-13.192489624023438,59.33500671386719,-25.894302368164062,72.52749633789062
1483,amp250_freq26,250,26,A_dHPC_96-127,31,-48.64116287231445,-7.609733581542969,8.484779357910156,-3.0038833618164062,16.094512939453125
