edge,sample
rising,51362480
rising,51451344
rising,51467507
rising,51571472
rising,51576527
rising,51587572
rising,51591566
rising,51687232
rising,51703332
rising,51792258
rising,51810855
rising,51815410
rising,51821526
rising,51823086
rising,51824708
rising,51833820
rising,51837002
rising,51841558
rising,51843055
rising,51909953
rising,51925741
rising,51941841
rising,51957754
rising,52030039
rising,52065547
rising,52069604
rising,52082958
rising,52149918
rising,52190543
rising,52190855
rising,52208952
rising,52270233
rising,52282090
rising,52285834
rising,52286084
rising,52287332
rising,52292761
rising,52297379
rising,52300437
rising,52301248
rising,52305117
rising,52307301
rising,52309610
rising,52311982
rising,52318971
rising,52321217
rising,52324338
rising,52392670
rising,52398911
rising,52399909
rising,52403529
rising,52404277
rising,52405838
rising,52409727
rising,52413534
rising,52417341
rising,52418859
rising,52421480
rising,52422978
rising,52425287
rising,52428158
rising,52428844
rising,52430466
rising,52430654
rising,52432713
rising,52433836
rising,52435084
rising,52435334
rising,52438142
rising,52440888
rising,52443571
rising,52444071
rising,52448064
rising,52449562
rising,52519892
rising,52551905
rising,52738057
rising,52751973
rising,52756841
rising,52774813
rising,52780950
rising,52781074
rising,52787128
rising,52793243
rising,52890219
rising,52893964
rising,52907069
rising,52913122
rising,52990066
rising,52994809
rising,52999427
rising,53016338
rising,53022392
rising,53030192
rising,53047104
rising,53114812
rising,53130164
rising,53157746
rising,53230135
rising,53233193
rising,53242429
rising,53247047
rising,53256220
rising,53268576
rising,53276252
rising,53357440
rising,53486679
rising,53506773
rising,53521438
rising,53594327
rising,53596636
rising,53600442
rising,53604436
rising,53611176
rising,53622034
rising,53625029
rising,53629772
rising,53635825
rising,53642128
rising,53647433
rising,53715765
rising,53851869
rising,53870341
rising,53958767
rising,53989470
rising,53999143
rising,54048567
rising,54057678
rising,54070055
rising,54072489
rising,54076295
rising,54080352
rising,54080789
rising,54080913
rising,54083971
rising,54086343
rising,54088964
rising,54094455
rising,54094829
rising,54096265
rising,54099635
rising,54102443
rising,54104752
rising,54106998
rising,54109370
rising,54114799
rising,54120915
rising,54127841
rising,54129339
rising,54129963
rising,54136204
rising,54190121
rising,54220886
rising,54345632
rising,54589882
rising,54679869
rising,54722928
rising,54920625
rising,55032890
rising,55072891
rising,55184158
rising,55276392
rising,55316393
rising,55410436
rising,55544917
rising,55630099
rising,55662736
rising,55678774
rising,55752661
rising,55767950
rising,55792662
rising,55797280
rising,55906550
rising,55910356
rising,55926457
rising,56110112
rising,56114169
rising,56123405
rising,56129458
rising,56150987
rising,56237979
rising,56286155
rising,56354612
rising,56356110
rising,56365346
rising,56377702
rising,56379949
rising,56384566
rising,56394676
rising,56406034
rising,56408405
rising,56476426
rising,56504383
rising,56592810
rising,56606726
rising,56612779
rising,56628255
rising,56632873
rising,56638926
rising,56714373
rising,56718117
rising,56723609
rising,56725044
rising,56736589
rising,56744202
rising,56762799
rising,56764359
rising,56855032
rising,56863145
rising,57193201
rising,57200939
rising,57203311
rising,57210175
rising,57217851
rising,57234013
rising,57241689
rising,57250176
rising,57333611
rising,57469839
rising,57566067
rising,57584538
rising,57599952
rising,57609188
rising,57609625
rising,57639517
rising,57647567
rising,57647691
rising,57647816
rising,57647941
rising,57648066
rising,57659049
rising,57705415
rising,57797337
rising,57815871
rising,57911412
rising,57914782
rising,57919275
rising,57936186
rising,57942177
rising,57957841
rising,57963707
rising,58031852
rising,58087891
rising,58154477
rising,58158034
rising,58166521
rising,58171139
rising,58179563
rising,58189860
rising,58193417
rising,58199845
rising,58207333
rising,58209517
rising,58298693
rising,58310737
rising,58394733
rising,58427683
rising,58434734
rising,58534456
rising,58637756
rising,58640877
rising,58644683
rising,58653919
rising,58664715
rising,58666962
rising,58676509
rising,58680878
rising,58784906
rising,58870275
rising,58890618
rising,58916766
rising,59003820
rising,59131125
rising,59157272
rising,59161890
rising,59230285
rising,59253874
rising,59350476
rising,59397029
rising,59470292
rising,59590295
rising,59619813
rising,59647458
rising,59726649
rising,59730455
rising,59734387
rising,59750425
rising,59759973
rising,59830323
rising,59845799
rising,59853538
rising,59865082
rising,59872696
rising,59966240
rising,60070330
rising,60070829
rising,60072077
rising,60078131
rising,60099660
rising,60121190
rising,60191457
rising,60204250
rising,60207370
rising,60216918
rising,60226154
rising,60238135
rising,60247808
rising,60323442
rising,60344971
rising,60354207
rising,60430340
rising,60438391
rising,60450372
rising,60550365
rising,60589867
rising,60680291
rising,60688029
rising,60706438
rising,60714176
rising,60790372
rising,60790559
rising,60794865
rising,60804101
rising,60820950
rising,60839734
