burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
141,47237395,47277396,2361.86975,2363.8698,2.00005,3,1.990643973325371,141,250,26,12,1746.0,615.8697499999998
142,47349723,47397399,2367.48615,2369.86995,2.3838,4,1.2717792191275594,142,180,26,12,1752.0,615.4861500000002
143,47469663,47522582,2373.48315,2376.1291,2.64595,2,106.38297872340425,143,250,26,12,1758.0,615.48315
144,47528635,47528698,2376.43175,2376.4349,0.00315,1,,144,180,5,12,1764.0,612.4317500000002
145,47589667,47640900,2379.48335,2382.045,2.56165,10,5.724098454493418,145,180,5,12,1770.0,609.48335
146,47715473,47767706,2385.77365,2388.3853,2.61165,8,3.683919690550746,146,250,5,12,1776.0,609.7736500000001
147,47832356,48070574,2391.6178,2403.5287,11.9109,29,4.567774351947015,147,100,5,12,1782.0,609.6178
148,48086986,48210984,2404.3493,2410.5492,6.1999,2,0.49998750031249223,148,180,26,12,1788.0,616.3492999999999
149,48223090,48322562,2411.1545,2416.1281,4.9736,2,0.8367850717543199,149,180,5,12,1794.0,617.1545000000001
150,48326556,48366557,2416.3278,2418.32785,2.00005,2,0.6259584989515196,150,180,26,12,1800.0,616.3278
151,48430771,48553645,2421.53855,2427.68225,6.1437,3,0.7137886115027036,151,250,26,12,1806.0,615.5385500000002
152,48553707,48669779,2427.68535,2433.48895,5.8036,7,4.3308791684712,152,180,26,12,1812.0,615.6853500000002
153,48669842,48789845,2433.4921,2439.49225,6.00015,5,1.259326889777414,153,180,5,12,1818.0,615.4920999999999
154,48805696,48913405,2440.2848,2445.67025,5.38545,6,4.331817197314273,154,100,26,12,1824.0,616.2847999999999
155,48914903,49032535,2445.74515,2451.62675,5.8816,16,6.675567423230975,155,250,5,12,1830.0,615.7451500000002
156,49032597,49155783,2451.62985,2457.78915,6.1593,11,4.389815627743634,156,100,5,12,1836.0,615.6298499999998
157,49155846,49291575,2457.7923,2464.57875,6.78645,4,1.2470382840753211,157,100,5,12,1842.0,615.7923000000001
158,49300748,49389987,2465.0374,2469.49935,4.46195,3,2.6055237102657633,158,100,26,12,1848.0,617.0374000000002
159,49401781,49445776,2470.08905,2472.2888,2.19975,3,0.9999750006249845,159,180,26,12,1854.0,616.08905
160,49529273,49654019,2476.46365,2482.70095,6.2373,3,1.2494923937150533,160,180,26,12,1860.0,616.4636500000001
161,49657264,49670119,2482.8632,2483.50595,0.64275,2,1.5633549597436096,161,100,5,12,1866.0,616.8631999999998
162,49750184,49805412,2487.5092,2490.2706,2.7614,4,0.9262689885142646,162,250,26,12,1872.0,615.5092
163,49870000,49929721,2493.5,2496.48605,2.98605,9,4.360623569170391,163,250,5,12,1878.0,615.5
164,49989816,50044981,2499.4908,2502.24905,2.75825,8,4.3308791684712,164,250,5,12,1884.0,615.4908
165,50111504,50160304,2505.5752,2508.0152,2.44,4,2.2729855665416525,165,100,26,12,1890.0,615.5752000000002
166,50229885,50289356,2511.49425,2514.4678,2.97355,23,8.216926869350862,166,180,26,12,1896.0,615.4942500000002
167,50371917,50469829,2518.59585,2523.49145,4.8956,2,0.8853474988933157,167,180,5,12,1902.0,616.5958500000002
168,50478504,50518505,2523.9252,2525.92525,2.00005,3,1.1108951037298305,168,250,26,12,1908.0,615.9252000000001
169,50596759,50649990,2529.83795,2532.4995,2.66155,5,1.635189273158368,169,100,26,12,1914.0,615.8379500000001
170,50709857,50837349,2535.49285,2541.86745,6.3746,10,4.3308791684712,170,250,26,12,1920.0,615.4928500000001
171,50838410,50877350,2541.9205,2543.8675,1.947,3,1.1446231328335146,171,100,5,12,1926.0,615.9205000000002
172,50955792,51008773,2547.7896,2550.43865,2.64905,16,5.2534804307853955,172,180,5,12,1932.0,615.7896000000001
173,51070990,51123410,2553.5495,2556.1705,2.621,5,2.1654395842356,173,180,5,12,1938.0,615.5495000000001
174,51190182,51311371,2559.5091,2565.56855,6.05945,19,5.574136008918617,174,100,5,12,1944.0,615.5091000000002
175,51335272,51367348,2566.7636,2568.3674,1.6038,2,0.7350779182593354,175,180,26,12,1950.0,616.7636000000002
176,51451344,51467569,2572.5672,2573.37845,0.81125,2,1.2373940481346284,176,100,5,12,1956.0,616.5672
177,51571472,51599304,2578.5736,2579.9652,1.3916,4,3.9564787339268057,177,250,5,12,1962.0,616.5736000000002
178,51687232,51791509,2584.3616,2589.57545,5.21385,2,1.2422360248447204,178,100,26,12,1968.0,616.3616000000002
179,51792258,51849920,2589.6129,2592.496,2.8831,10,4.390779363336992,179,250,26,12,1974.0,615.6129000000001
180,51909953,51969923,2595.49765,2598.49615,2.9985,4,1.2568340350656697,180,250,26,12,1980.0,615.4976499999998
181,52030039,52086952,2601.50195,2604.3476,2.84565,4,1.4976785981728322,181,100,5,12,1986.0,615.5019499999999
182,52149918,52269984,2607.4959,2613.4992,6.0033,4,1.1051555506437531,182,250,5,12,1992.0,615.4958999999999
183,52270233,52325024,2613.51165,2616.2512,2.73955,16,6.540222367560497,183,100,26,12,1998.0,615.5116499999999
184,52392670,52511717,2619.6335,2625.58585,5.95235,27,10.866612333605,184,250,26,12,2004.0,615.6334999999999
185,52519892,52659553,2625.9946,2632.97765,6.98305,2,0.6247461968575266,185,180,26,12,2010.0,615.9946
186,52738057,52870188,2636.90285,2643.5094,6.60655,8,3.2706459525756335,186,100,26,12,2016.0,620.90285
187,52890219,52921609,2644.51095,2646.08045,1.5695,4,3.3041467041136627,187,180,26,12,2022.0,622.5109499999999
188,52990066,53048539,2649.5033,2652.42695,2.92365,7,2.8872527789807996,188,100,5,12,2028.0,621.5032999999999
189,53114812,53230073,2655.7406,2661.50365,5.76305,3,0.9316625518237294,189,180,26,12,2034.0,621.7406000000001
190,53230135,53277750,2661.50675,2663.8875,2.38075,7,2.3740281322333674,190,250,26,12,2040.0,621.50675
191,53357440,53485244,2667.872,2674.2622,6.3902,1,,191,250,5,12,2046.0,621.8719999999998
192,53486679,53525994,2674.33395,2676.2997,1.96575,3,1.1507810926666475,192,100,26,12,2052.0,622.3339500000002
193,53594327,53649679,2679.71635,2682.48395,2.7676,11,3.980891719745223,193,100,26,12,2058.0,621.7163500000001
194,53715765,53739791,2685.78825,2686.98955,1.2013,1,,194,250,26,12,2064.0,621.7882500000001
195,53851869,53888687,2692.59345,2694.43435,1.8409,2,1.0827197921178,195,250,26,12,2070.0,622.5934499999998
196,53958767,54007880,2697.93835,2700.394,2.45565,3,0.9906875371507826,196,250,5,12,2076.0,621.9383499999999
197,54048567,54160479,2702.42835,2708.02395,5.5956,25,7.367839381101493,197,250,5,12,2082.0,620.4283500000001
