cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,max_abs_on_off_delta_hz,best_on_off_condition,best_on_off_delta_hz,n_conditions_q05,review_category,review_priority
12,mua,122.3,10.9,mua,False,125656,6.928681638423786,2998,0.023858978950300425,98,98,0.0,40.0,4,4.461689472198486,,,,0,likely_noise_or_multiunit,43
13,mua,59.3,9.5,mua,False,38328,2.1134089087469508,157,0.004096328958697524,34,34,120.0,40.0,2,2.3264238834381104,,,,0,likely_noise_or_multiunit,44
14,mua,88.6,9.6,mua,False,47627,2.626156493865869,325,0.006824003695460463,66,66,180.0,40.0,3,3.0440592765808105,,,,0,likely_noise_or_multiunit,45
15,mua,133.9,9.2,mua,False,20496,1.1301510382403857,129,0.0062942181019760915,3,3,60.0,60.0,1,2.179888963699341,,,,0,likely_noise_or_multiunit,46
16,mua,86.7,9.4,mua,False,26778,1.4765410080991925,110,0.004108003137020577,34,34,120.0,40.0,2,2.484151840209961,,,,0,likely_noise_or_multiunit,47
17,mua,176.6,9.7,mua,False,51611,2.845834564530862,758,0.014687076148033327,66,66,180.0,40.0,3,3.1806163787841797,,,,0,likely_noise_or_multiunit,48
18,mua,134.1,9.5,mua,False,20144,1.110741730792073,214,0.010624038127389168,3,3,60.0,60.0,1,2.0689446926116943,,,,0,likely_noise_or_multiunit,49
19,mua,151.1,9.7,mua,False,41891,2.309873006583138,445,0.01062306039627596,5,5,60.0,100.0,1,2.8026156425476074,,,,0,likely_noise_or_multiunit,50
20,mua,58.3,9.9,mua,False,44923,2.477057723012922,329,0.007323805707671075,101,101,0.0,100.0,4,2.789167881011963,,,,0,likely_noise_or_multiunit,51
21,mua,164.4,9.1,mua,False,14721,0.8117170879165065,66,0.004483695652173913,36,36,120.0,80.0,2,2.1865928173065186,,,,0,likely_noise_or_multiunit,52
22,mua,71.8,10.0,mua,False,39364,2.1705340295323254,302,0.0076721794578665245,101,101,0.0,100.0,4,2.7868599891662598,,,,0,likely_noise_or_multiunit,53
23,mua,220.0,9.1,mua,False,12881,0.7102593444366905,71,0.005512422360248447,37,37,120.0,100.0,2,2.3047118186950684,,,,0,likely_noise_or_multiunit,54
24,mua,188.3,9.6,mua,False,42143,2.3237683062336347,520,0.012339234018319017,5,5,60.0,100.0,1,3.02590274810791,,,,0,likely_noise_or_multiunit,55
25,mua,106.4,10.9,mua,False,48872,2.6948058909486794,349,0.00714124941171656,101,101,0.0,100.0,4,4.3739752769470215,,,,0,likely_noise_or_multiunit,56
26,mua,125.5,12.1,mua,False,62952,3.4711781888811846,8686,0.13798033391050182,69,69,180.0,100.0,3,3.5302231311798096,,,,0,likely_noise_or_multiunit,57
27,mua,98.3,12.5,mua,False,71609,3.9485258439381234,8644,0.12071276952295833,69,69,180.0,100.0,3,3.839815378189087,,,,0,likely_noise_or_multiunit,58
28,mua,62.0,9.7,mua,False,37826,2.085728589601914,274,0.007243886318572373,103,103,0.0,140.0,4,2.7195701599121094,,,,0,likely_noise_or_multiunit,59
29,mua,190.7,9.9,mua,False,61321,3.3812447216988044,1410,0.02299412915851272,7,7,60.0,140.0,1,2.9819412231445312,,,,0,likely_noise_or_multiunit,60
30,mua,82.1,9.7,mua,False,38075,2.0994584690184763,384,0.01008562273467458,103,103,0.0,140.0,4,2.6067075729370117,,,,0,likely_noise_or_multiunit,61
31,mua,177.4,9.3,mua,False,15129,0.8342142397315963,162,0.010708619777895294,39,39,120.0,140.0,2,2.234485387802124,,,,0,likely_noise_or_multiunit,62
32,mua,217.0,9.2,mua,False,13547,0.7469826363701456,100,0.007382253063635022,39,39,120.0,140.0,2,2.2586984634399414,,,,0,likely_noise_or_multiunit,63
33,mua,244.7,9.9,mua,False,51648,2.847874747416054,1609,0.03115379402482235,7,7,60.0,140.0,1,2.8845975399017334,,,,0,likely_noise_or_multiunit,64
34,mua,118.1,12.0,mua,False,56168,3.0971078998773414,2931,0.05218366656577706,70,70,180.0,120.0,3,3.2301254272460938,,,,0,likely_noise_or_multiunit,65
35,mua,115.5,11.9,mua,False,107608,5.933513511073937,10083,0.09370208257827094,70,70,180.0,120.0,3,3.0632131099700928,,,,0,likely_noise_or_multiunit,66
36,mua,62.0,11.7,mua,False,47247,2.605203264234168,246,0.005206789992803624,8,8,60.0,160.0,1,5.217715740203857,,,,0,likely_noise_or_multiunit,67
37,mua,97.9,9.3,mua,False,44417,2.4491568435559725,356,0.008015129682997118,104,104,0.0,160.0,4,3.2756242752075195,,,,0,likely_noise_or_multiunit,68
38,mua,249.8,9.8,mua,False,26696,1.4720195217049834,651,0.024386589248923018,8,8,60.0,160.0,1,2.902617931365967,,,,0,likely_noise_or_multiunit,69
39,mua,160.6,9.3,mua,False,17349,0.9566252128431134,240,0.01383444777495965,41,41,120.0,180.0,2,2.3181986808776855,,,,0,likely_noise_or_multiunit,70
40,mua,173.7,9.2,mua,False,17987,0.99180458259318,266,0.014789280551540086,40,40,120.0,160.0,2,2.188812255859375,,,,0,likely_noise_or_multiunit,71
41,mua,85.6,9.6,mua,False,28196,1.5547296386722247,245,0.008689483951055151,104,104,0.0,160.0,4,2.5736494064331055,,,,0,likely_noise_or_multiunit,72
42,mua,205.5,10.3,mua,False,69557,3.8353784039269376,2867,0.041218586462706305,9,9,60.0,180.0,1,3.658216953277588,,,,0,likely_noise_or_multiunit,73
43,mua,123.4,13.7,mua,False,99464,5.484452716019796,10551,0.10607964770819299,74,74,180.0,200.0,3,3.2621161937713623,,,,0,likely_noise_or_multiunit,74
44,mua,120.1,12.5,mua,False,70066,3.863444703617821,5564,0.0794119745950189,74,74,180.0,200.0,3,2.9022035598754883,,,,0,likely_noise_or_multiunit,75
49,mua,143.5,9.6,mua,False,27175,1.4984316190565223,389,0.014315154191506587,107,107,0.0,220.0,4,2.342150926589966,,,,0,likely_noise_or_multiunit,76
